Time_ms,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00000,0.09179,0.03653,-0.01148,0.99504,-0.08996,-0.03161,-0.00286,0.99544,0.00140,0.00620,-0.01389,0.99988,1.00,-0.08941,-0.05888,-0.00530,0.99424,0.00142,-0.02075,-0.01882,0.99961,1.00
14,0.54681,0.09021,0.03639,-0.01138,0.99519,-0.08838,-0.03143,-0.00279,0.99559,0.00140,0.00620,-0.01372,0.99989,1.00,-0.08785,-0.05869,-0.00518,0.99439,0.00142,-0.02075,-0.01857,0.99961,1.00
28,1.10418,0.08854,0.03628,-0.01130,0.99535,-0.08575,-0.03215,-0.00277,0.99579,0.00235,0.00534,-0.01375,0.99989,1.00,-0.08523,-0.05939,-0.00509,0.99458,0.00238,-0.02161,-0.01847,0.99959,1.00
42,1.66677,0.08700,0.03639,-0.01145,0.99548,-0.08420,-0.03225,-0.00273,0.99592,0.00235,0.00534,-0.01386,0.99989,1.00,-0.08367,-0.05947,-0.00500,0.99470,0.00238,-0.02161,-0.01850,0.99959,1.00
56,2.25229,0.08540,0.03657,-0.01158,0.99561,-0.08260,-0.03241,-0.00269,0.99605,0.00235,0.00534,-0.01396,0.99989,1.00,-0.08207,-0.05962,-0.00492,0.99483,0.00238,-0.02161,-0.01851,0.99959,1.00
70,2.78874,0.08372,0.03680,-0.01168,0.99574,-0.08383,-0.03365,-0.00283,0.99591,-0.00060,0.00436,-0.01418,0.99989,1.00,-0.08328,-0.06086,-0.00510,0.99465,-0.00055,-0.02260,-0.01872,0.99957,1.00
84,3.33337,0.08207,0.03719,-0.01186,0.99586,-0.08218,-0.03402,-0.00281,0.99603,-0.00060,0.00436,-0.01435,0.99989,1.00,-0.08162,-0.06122,-0.00502,0.99477,-0.00055,-0.02260,-0.01879,0.99957,1.00
98,3.88326,0.08037,0.03762,-0.01203,0.99598,-0.07852,-0.03428,-0.00270,0.99632,0.00136,0.00450,-0.01448,0.99988,1.00,-0.07798,-0.06146,-0.00482,0.99505,0.00139,-0.02246,-0.01878,0.99957,1.00
111,4.42059,0.07844,0.03804,-0.01199,0.99612,-0.07658,-0.03468,-0.00267,0.99646,0.00136,0.00450,-0.01441,0.99989,1.00,-0.07605,-0.06184,-0.00473,0.99517,0.00139,-0.02246,-0.01860,0.99957,1.00
126,4.96996,0.07647,0.03843,-0.01177,0.99626,-0.07462,-0.03501,-0.00262,0.99659,0.00136,0.00450,-0.01415,0.99989,1.00,-0.07411,-0.06216,-0.00463,0.99530,0.00138,-0.02246,-0.01823,0.99958,1.00
139,5.50304,0.07456,0.03886,-0.01160,0.99639,-0.07437,-0.03241,-0.00242,0.99670,-0.00025,0.00748,-0.01349,0.99988,1.00,-0.07391,-0.05958,-0.00442,0.99547,-0.00028,-0.01949,-0.01752,0.99966,1.00
153,6.03425,0.07258,0.03915,-0.01134,0.99653,-0.07239,-0.03265,-0.00237,0.99684,-0.00025,0.00748,-0.01321,0.99988,1.00,-0.07195,-0.05981,-0.00432,0.99560,-0.00029,-0.01949,-0.01713,0.99966,1.00
167,6.57119,0.07042,0.03927,-0.01108,0.99668,-0.06986,-0.03175,-0.00222,0.99705,0.00015,0.00843,-0.01276,0.99988,1.00,-0.06945,-0.05889,-0.00411,0.99584,0.00009,-0.01854,-0.01655,0.99969,1.00
181,7.08746,0.06814,0.03932,-0.01081,0.99684,-0.06758,-0.03176,-0.00215,0.99721,0.00015,0.00843,-0.01244,0.99989,1.00,-0.06720,-0.05889,-0.00397,0.99599,0.00009,-0.01854,-0.01610,0.99970,1.00
195,7.60517,0.06576,0.03916,-0.01046,0.99701,-0.06786,-0.03091,-0.00210,0.99721,-0.00248,0.00908,-0.01190,0.99989,1.00,-0.06748,-0.05804,-0.00393,0.99602,-0.00254,-0.01790,-0.01551,0.99972,1.00
209,8.11977,0.06337,0.03898,-0.00990,0.99718,-0.06548,-0.03066,-0.00201,0.99738,-0.00248,0.00908,-0.01127,0.99989,1.00,-0.06515,-0.05777,-0.00378,0.99619,-0.00256,-0.01790,-0.01475,0.99973,1.00
224,8.65499,0.06067,0.03854,-0.00895,0.99737,-0.06281,-0.03011,-0.00190,0.99757,-0.00247,0.00909,-0.01023,0.99990,1.00,-0.06254,-0.05722,-0.00359,0.99639,-0.00258,-0.01789,-0.01357,0.99974,1.00
237,9.12733,0.05791,0.03808,-0.00781,0.99756,-0.05762,-0.02855,-0.00165,0.99793,0.00003,0.01006,-0.00890,0.99991,1.00,-0.05742,-0.05564,-0.00321,0.99679,-0.00011,-0.01691,-0.01202,0.99978,1.00
251,9.61314,0.05520,0.03744,-0.00658,0.99775,-0.05494,-0.02782,-0.00153,0.99810,0.00004,0.01006,-0.00758,0.99992,1.00,-0.05482,-0.05489,-0.00302,0.99698,-0.00014,-0.01691,-0.01055,0.99980,1.00
264,10.09326,0.05246,0.03670,-0.00550,0.99793,-0.05332,-0.02736,-0.00146,0.99820,-0.00105,0.00970,-0.00643,0.99993,1.00,-0.05319,-0.05443,-0.00290,0.99710,-0.00119,-0.01728,-0.00929,0.99981,1.00
278,10.56881,0.04958,0.03579,-0.00425,0.99812,-0.05047,-0.02636,-0.00133,0.99838,-0.00104,0.00970,-0.00507,0.99994,1.00,-0.05043,-0.05342,-0.00270,0.99729,-0.00121,-0.01728,-0.00778,0.99982,1.00
293,11.04537,0.04627,0.03438,-0.00283,0.99833,-0.04720,-0.02486,-0.00118,0.99858,-0.00102,0.00970,-0.00353,0.99995,1.00,-0.04725,-0.05191,-0.00246,0.99753,-0.00124,-0.01728,-0.00606,0.99983,1.00
307,11.50808,0.04244,0.03288,-0.00156,0.99856,-0.04755,-0.02148,-0.00102,0.99864,-0.00517,0.01150,-0.00193,0.99992,1.00,-0.04757,-0.04854,-0.00231,0.99768,-0.00531,-0.01550,-0.00437,0.99986,1.00
321,11.96225,0.03834,0.03108,-0.00005,0.99878,-0.04347,-0.01959,-0.00085,0.99886,-0.00515,0.01151,-0.00030,0.99992,1.00,-0.04359,-0.04665,-0.00204,0.99796,-0.00534,-0.01549,-0.00252,0.99986,1.00
335,12.40940,0.03420,0.02928,0.00157,0.99898,-0.04331,-0.01904,-0.00083,0.99888,-0.00910,0.01019,0.00136,0.99991,1.00,-0.04337,-0.04610,-0.00200,0.99799,-0.00918,-0.01683,-0.00074,0.99982,1.00
349,12.84248,0.03024,0.02749,0.00330,0.99916,-0.03936,-0.01716,-0.00068,0.99908,-0.00908,0.01020,0.00318,0.99990,1.00,-0.03953,-0.04421,-0.00175,0.99824,-0.00922,-0.01681,0.00129,0.99982,1.00
363,13.26554,0.02668,0.02589,0.00535,0.99929,-0.00555,0.03332,0.00018,0.99943,0.02095,0.05914,0.00656,0.99801,1.00,-0.00587,0.00626,0.00004,0.99996,0.02078,0.03211,0.00571,0.99925,1.00
376,13.67158,0.02386,0.02450,0.00684,0.99939,-0.00259,0.03467,0.00009,0.99940,0.02102,0.05911,0.00781,0.99800,1.00,-0.00299,0.00761,0.00002,0.99997,0.02083,0.03208,0.00711,0.99924,1.00
391,14.08942,0.02150,0.02358,0.00813,0.99946,-0.00011,0.03554,0.00000,0.99937,0.02108,0.05909,0.00889,0.99799,1.00,-0.00056,0.00849,0.00000,0.99996,0.02086,0.03206,0.00833,0.99923,1.00
404,14.46844,0.01966,0.02306,0.00903,0.99950,0.00789,0.09502,-0.00075,0.99544,0.02658,0.11801,0.00992,0.99261,1.00,0.00767,0.06835,-0.00053,0.99763,0.02665,0.09140,0.00965,0.99541,1.00
418,14.84628,0.01813,0.02280,0.00972,0.99953,0.00952,0.09524,-0.00091,0.99541,0.02662,0.11800,0.01027,0.99260,1.00,0.00929,0.06858,-0.00064,0.99760,0.02669,0.09139,0.01009,0.99541,1.00
432,15.21821,0.01667,0.02307,0.01032,0.99954,0.01912,0.10266,-0.00197,0.99453,0.03459,0.12579,0.00956,0.99141,1.00,0.01916,0.07609,-0.00146,0.99692,0.03495,0.09928,0.00966,0.99440,1.00
446,15.57001,0.01528,0.02362,0.01095,0.99954,0.02060,0.10207,-0.00211,0.99456,0.03462,0.12578,0.00985,0.99141,1.00,0.02063,0.07550,-0.00156,0.99693,0.03499,0.09927,0.01002,0.99440,1.00
460,15.91774,0.01423,0.02468,0.01132,0.99953,0.02705,0.10819,-0.00295,0.99376,0.03988,0.13301,0.00917,0.99027,1.00,0.02729,0.08170,-0.00224,0.99628,0.04047,0.10660,0.00953,0.99343,1.00
474,16.24392,0.01318,0.02599,0.01125,0.99951,0.02804,0.10689,-0.00302,0.99387,0.03984,0.13303,0.00885,0.99027,1.00,0.02829,0.08040,-0.00228,0.99636,0.04044,0.10661,0.00926,0.99344,1.00
488,16.56916,0.01240,0.02758,0.01096,0.99948,0.02870,0.10534,-0.00304,0.99402,0.03978,0.13305,0.00837,0.99028,1.00,0.02898,0.07884,-0.00229,0.99646,0.04039,0.10662,0.00881,0.99344,1.00
502,16.87150,0.01182,0.02942,0.01037,0.99944,0.02813,0.10776,-0.00305,0.99377,0.03865,0.13727,0.00770,0.98975,1.00,0.02852,0.08131,-0.00233,0.99628,0.03937,0.11090,0.00812,0.99302,1.00
516,17.16166,0.01152,0.03150,0.00970,0.99939,0.02824,0.10574,-0.00300,0.99399,0.03855,0.13730,0.00697,0.98975,1.00,0.02866,0.07928,-0.00228,0.99644,0.03928,0.11093,0.00740,0.99302,1.00
530,17.44410,0.01131,0.03363,0.00891,0.99933,0.03186,0.11431,-0.00367,0.99293,0.04194,0.14795,0.00540,0.98809,1.00,0.03241,0.08796,-0.00286,0.99559,0.04278,0.12170,0.00591,0.99163,1.00
544,17.70902,0.01112,0.03599,0.00826,0.99926,0.03187,0.11202,-0.00359,0.99319,0.04183,0.14798,0.00471,0.98809,1.00,0.03245,0.08566,-0.00279,0.99579,0.04269,0.12173,0.00522,0.99163,1.00
558,17.96350,0.01123,0.03846,0.00764,0.99917,0.03158,0.10961,-0.00348,0.99347,0.04174,0.14801,0.00412,0.98810,1.00,0.03220,0.08324,-0.00269,0.99601,0.04262,0.12175,0.00462,0.99163,1.00
572,18.19794,0.01137,0.04086,0.00702,0.99908,0.03145,0.13224,-0.00420,0.99071,0.04159,0.17287,0.00298,0.98406,1.00,0.03213,0.10620,-0.00343,0.99382,0.04252,0.14698,0.00344,0.98822,1.00
586,18.42320,0.01159,0.04326,0.00653,0.99898,0.03109,0.12990,-0.00408,0.99103,0.04152,0.17288,0.00256,0.98406,1.00,0.03179,0.10386,-0.00332,0.99408,0.04245,0.14700,0.00300,0.98822,1.00
599,18.63334,0.01190,0.04554,0.00620,0.99887,0.03480,0.13833,-0.00486,0.98976,0.04546,0.18352,0.00134,0.98196,1.00,0.03553,0.11239,-0.00402,0.99302,0.04642,0.15775,0.00186,0.98639,1.00
613,18.82586,0.01229,0.04763,0.00595,0.99877,0.03434,0.13627,-0.00473,0.99006,0.04543,0.18353,0.00121,0.98196,1.00,0.03507,0.11032,-0.00390,0.99327,0.04640,0.15775,0.00170,0.98639,1.00
627,19.00817,0.01252,0.04955,0.00573,0.99868,0.03487,0.13969,-0.00492,0.98957,0.04616,0.18880,0.00078,0.98093,1.00,0.03556,0.11375,-0.00407,0.99287,0.04709,0.16305,0.00129,0.98549,1.00
641,19.17095,0.01273,0.05126,0.00562,0.99859,0.03463,0.13801,-0.00483,0.98981,0.04615,0.18881,0.00073,0.98093,1.00,0.03532,0.11206,-0.00399,0.99307,0.04707,0.16305,0.00122,0.98549,1.00
655,19.32636,0.01285,0.05288,0.00541,0.99850,0.03444,0.13642,-0.00475,0.99004,0.04612,0.18881,0.00055,0.98093,1.00,0.03513,0.11047,-0.00391,0.99325,0.04704,0.16306,0.00104,0.98549,1.00
669,19.46028,0.01289,0.05430,0.00534,0.99843,0.03513,0.13831,-0.00491,0.98975,0.04683,0.19208,0.00026,0.98026,1.00,0.03580,0.11234,-0.00405,0.99302,0.04772,0.16632,0.00076,0.98492,1.00
683,19.58055,0.01303,0.05560,0.00528,0.99835,0.03497,0.13702,-0.00484,0.98994,0.04682,0.19209,0.00023,0.98026,1.00,0.03564,0.11104,-0.00398,0.99317,0.04771,0.16632,0.00073,0.98492,1.00
697,19.68775,0.01347,0.05675,0.00533,0.99828,0.03460,0.14004,-0.00490,0.98953,0.04685,0.19621,0.00030,0.97944,1.00,0.03523,0.11408,-0.00405,0.99284,0.04771,0.17047,0.00078,0.98421,1.00
711,19.77718,0.01404,0.05776,0.00531,0.99822,0.03405,0.13904,-0.00478,0.98969,0.04688,0.19620,0.00047,0.97944,1.00,0.03468,0.11307,-0.00395,0.99297,0.04773,0.17046,0.00092,0.98421,1.00
725,19.85370,0.01444,0.05872,0.00541,0.99816,0.03371,0.13808,-0.00470,0.98984,0.04692,0.19619,0.00068,0.97944,1.00,0.03432,0.11210,-0.00387,0.99310,0.04777,0.17045,0.00111,0.98421,1.00
739,19.91343,0.01489,0.05940,0.00534,0.99811,0.03337,0.14084,-0.00475,0.98946,0.04700,0.19960,0.00066,0.97875,1.00,0.03396,0.11488,-0.00393,0.99279,0.04783,0.17388,0.00107,0.98360,1.00
753,19.95717,0.01537,0.06009,0.00507,0.99806,0.03282,0.14017,-0.00465,0.98957,0.04698,0.19961,0.00056,0.97875,1.00,0.03342,0.11421,-0.00384,0.99289,0.04781,0.17389,0.00094,0.98360,1.00
767,19.98594,0.01585,0.06066,0.00486,0.99802,0.03318,0.14225,-0.00477,0.98926,0.04782,0.20221,0.00028,0.97817,1.00,0.03380,0.11630,-0.00396,0.99263,0.04866,0.17651,0.00066,0.98310,1.00
780,19.99895,0.01627,0.06114,0.00473,0.99799,0.03275,0.14178,-0.00469,0.98935,0.04782,0.20221,0.00030,0.97817,1.00,0.03336,0.11582,-0.00389,0.99270,0.04866,0.17651,0.00065,0.98310,1.00
794,19.99685,0.01676,0.06160,0.00472,0.99795,0.03291,0.14322,-0.00477,0.98913,0.04846,0.20410,0.00028,0.97775,1.00,0.03352,0.11727,-0.00396,0.99253,0.04929,0.17840,0.00063,0.98272,1.00
808,19.97913,0.01710,0.06191,0.00468,0.99792,0.03259,0.14291,-0.00471,0.98919,0.04848,0.20410,0.00036,0.97775,1.00,0.03318,0.11696,-0.00391,0.99257,0.04930,0.17840,0.00069,0.98272,1.00
822,19.94530,0.01736,0.06219,0.00451,0.99790,0.03228,0.14265,-0.00466,0.98924,0.04846,0.20410,0.00028,0.97775,1.00,0.03288,0.11670,-0.00387,0.99262,0.04928,0.17840,0.00060,0.98272,1.00
836,19.89810,0.01764,0.06236,0.00427,0.99789,0.02881,0.14689,-0.00428,0.98872,0.04530,0.20844,0.00075,0.97699,1.00,0.02936,0.12101,-0.00358,0.99221,0.04607,0.18282,0.00097,0.98207,1.00
850,19.83484,0.01787,0.06255,0.00395,0.99787,0.02849,0.14672,-0.00423,0.98876,0.04525,0.20845,0.00053,0.97699,1.00,0.02905,0.12084,-0.00354,0.99224,0.04602,0.18283,0.00074,0.98207,1.00
864,19.75425,0.01813,0.06277,0.00375,0.99786,0.02476,0.14951,-0.00375,0.98844,0.04184,0.21139,0.00112,0.97651,1.00,0.02526,0.12368,-0.00315,0.99200,0.04253,0.18583,0.00123,0.98166,1.00
878,19.66018,0.01858,0.06307,0.00365,0.99783,0.02431,0.14921,-0.00367,0.98850,0.04185,0.21139,0.00119,0.97651,1.00,0.02480,0.12338,-0.00308,0.99204,0.04254,0.18583,0.00128,0.98166,1.00
892,19.54976,0.01908,0.06338,0.00366,0.99780,0.02386,0.14889,-0.00359,0.98856,0.04189,0.21138,0.00137,0.97650,1.00,0.02434,0.12306,-0.00302,0.99210,0.04257,0.18582,0.00143,0.98166,1.00
906,19.42432,0.01956,0.06377,0.00365,0.99777,0.02304,0.14915,-0.00348,0.98854,0.04156,0.21200,0.00158,0.97638,1.00,0.02348,0.12332,-0.00292,0.99209,0.04220,0.18645,0.00162,0.98156,1.00
920,19.28373,0.01989,0.06414,0.00370,0.99774,0.02275,0.14877,-0.00342,0.98860,0.04159,0.21200,0.00174,0.97638,1.00,0.02319,0.12294,-0.00287,0.99214,0.04223,0.18644,0.00176,0.98156,1.00
934,19.12829,0.02028,0.06450,0.00369,0.99771,0.02326,0.14870,-0.00350,0.98860,0.04248,0.21228,0.00167,0.97628,1.00,0.02369,0.12286,-0.00293,0.99214,0.04311,0.18672,0.00170,0.98147,1.00
947,18.96147,0.02062,0.06487,0.00345,0.99767,0.02286,0.14834,-0.00343,0.98867,0.04245,0.21228,0.00156,0.97628,1.00,0.02329,0.12250,-0.00288,0.99219,0.04309,0.18672,0.00157,0.98147,1.00
961,18.77584,0.02089,0.06511,0.00338,0.99765,0.02211,0.14743,-0.00330,0.98882,0.04200,0.21161,0.00170,0.97645,1.00,0.02253,0.12157,-0.00276,0.99232,0.04262,0.18603,0.00168,0.98162,1.00
975,18.57888,0.02103,0.06541,0.00338,0.99763,0.02198,0.14714,-0.00327,0.98887,0.04201,0.21161,0.00173,0.97645,1.00,0.02239,0.12127,-0.00274,0.99236,0.04262,0.18603,0.00171,0.98162,1.00
990,18.35207,0.02127,0.06559,0.00330,0.99761,0.02173,0.14695,-0.00323,0.98890,0.04201,0.21161,0.00174,0.97645,1.00,0.02214,0.12109,-0.00270,0.99239,0.04262,0.18603,0.00170,0.98162,1.00
1003,18.13224,0.02148,0.06569,0.00327,0.99760,0.02213,0.14755,-0.00330,0.98880,0.04262,0.21230,0.00165,0.97627,1.00,0.02255,0.12169,-0.00277,0.99231,0.04323,0.18672,0.00162,0.98146,1.00
1017,17.89282,0.02188,0.06574,0.00317,0.99759,0.02173,0.14751,-0.00324,0.98882,0.04263,0.21230,0.00170,0.97627,1.00,0.02214,0.12165,-0.00271,0.99232,0.04323,0.18672,0.00164,0.98146,1.00
1031,17.63693,0.02240,0.06572,0.00294,0.99758,0.02182,0.14335,-0.00316,0.98943,0.04330,0.20817,0.00154,0.97713,1.00,0.02222,0.11740,-0.00263,0.99283,0.04389,0.18250,0.00147,0.98222,1.00
1045,17.36826,0.02290,0.06558,0.00275,0.99758,0.02129,0.14350,-0.00309,0.98942,0.04330,0.20817,0.00153,0.97713,1.00,0.02170,0.11756,-0.00257,0.99283,0.04389,0.18250,0.00144,0.98222,1.00
1059,17.07858,0.02349,0.06546,0.00270,0.99758,0.02073,0.14362,-0.00301,0.98941,0.04334,0.20816,0.00169,0.97713,1.00,0.02113,0.11768,-0.00250,0.99282,0.04391,0.18249,0.00157,0.98222,1.00
1073,16.78433,0.02411,0.06526,0.00264,0.99757,0.01990,0.13928,-0.00280,0.99005,0.04317,0.20367,0.00188,0.97808,1.00,0.02026,0.11325,-0.00231,0.99336,0.04371,0.17792,0.00173,0.98307,1.00
1087,16.47344,0.02467,0.06501,0.00265,0.99758,0.01938,0.13953,-0.00273,0.99002,0.04321,0.20367,0.00208,0.97808,1.00,0.01973,0.11351,-0.00225,0.99334,0.04374,0.17791,0.00190,0.98307,1.00
1101,16.15360,0.02518,0.06473,0.00268,0.99758,0.01964,0.13208,-0.00262,0.99104,0.04403,0.19603,0.00210,0.97961,1.00,0.01996,0.10594,-0.00213,0.99417,0.04452,0.17013,0.00192,0.98441,1.00
1114,15.82329,0.02571,0.06440,0.00264,0.99759,0.01913,0.13240,-0.00256,0.99101,0.04405,0.19602,0.00224,0.97961,1.00,0.01944,0.10626,-0.00208,0.99415,0.04454,0.17013,0.00203,0.98441,1.00
1129,15.47135,0.02615,0.06413,0.00276,0.99760,0.02045,0.12855,-0.00265,0.99149,0.04581,0.19195,0.00214,0.98033,1.00,0.02076,0.10234,-0.00214,0.99453,0.04630,0.16599,0.00196,0.98504,1.00
1142,15.11825,0.02663,0.06389,0.00290,0.99760,0.02005,0.12877,-0.00260,0.99147,0.04587,0.19193,0.00243,0.98033,1.00,0.02035,0.10257,-0.00210,0.99452,0.04635,0.16597,0.00223,0.98504,1.00
1157,14.73276,0.02726,0.06363,0.00293,0.99760,0.01947,0.12902,-0.00253,0.99145,0.04591,0.19192,0.00265,0.98033,1.00,0.01975,0.10282,-0.00204,0.99450,0.04638,0.16596,0.00242,0.98504,1.00
1170,14.36680,0.02782,0.06345,0.00308,0.99759,0.02006,0.12345,-0.00250,0.99215,0.04707,0.18624,0.00272,0.98137,1.00,0.02033,0.09717,-0.00198,0.99506,0.04753,0.16019,0.00249,0.98594,1.00
1184,13.97753,0.02828,0.06324,0.00321,0.99759,0.01966,0.12365,-0.00245,0.99213,0.04712,0.18622,0.00300,0.98137,1.00,0.01992,0.09737,-0.00195,0.99505,0.04757,0.16018,0.00275,0.98594,1.00
1198,13.56820,0.02881,0.06314,0.00324,0.99758,0.02032,0.11983,-0.00245,0.99258,0.04833,0.18235,0.00294,0.98204,1.00,0.02059,0.09350,-0.00193,0.99540,0.04880,0.15624,0.00269,0.98651,1.00
1212,13.15083,0.02933,0.06298,0.00327,0.99758,0.01984,0.11998,-0.00240,0.99257,0.04836,0.18234,0.00312,0.98204,1.00,0.02010,0.09365,-0.00189,0.99540,0.04882,0.15624,0.00285,0.98651,1.00
1226,12.72028,0.02984,0.06293,0.00329,0.99757,0.01937,0.12003,-0.00234,0.99258,0.04840,0.18233,0.00329,0.98204,1.00,0.01962,0.09370,-0.00185,0.99541,0.04884,0.15623,0.00300,0.98651,1.00
1240,12.29309,0.03025,0.06285,0.00356,0.99756,0.01595,0.10443,-0.00167,0.99440,0.04552,0.16678,0.00402,0.98493,1.00,0.01611,0.07790,-0.00126,0.99683,0.04587,0.14046,0.00363,0.98902,1.00
1254,11.84882,0.03084,0.06290,0.00378,0.99754,0.01545,0.10436,-0.00162,0.99442,0.04558,0.16676,0.00439,0.98493,1.00,0.01559,0.07783,-0.00122,0.99684,0.04592,0.14044,0.00398,0.98902,1.00
1268,11.39033,0.03136,0.06290,0.00384,0.99752,0.01426,0.09882,-0.00142,0.99500,0.04495,0.16126,0.00461,0.98588,1.00,0.01439,0.07223,-0.00104,0.99728,0.04528,0.13487,0.00415,0.98982,1.00
1282,10.93303,0.03179,0.06300,0.00392,0.99750,0.01386,0.09872,-0.00138,0.99502,0.04499,0.16125,0.00480,0.98588,1.00,0.01398,0.07213,-0.00101,0.99730,0.04530,0.13486,0.00432,0.98982,1.00
1296,10.45911,0.03223,0.06308,0.00393,0.99748,0.01364,0.08828,-0.00121,0.99600,0.04528,0.15097,0.00470,0.98749,1.00,0.01375,0.06157,-0.00085,0.99801,0.04559,0.12445,0.00420,0.99117,1.00
1309,9.98754,0.03262,0.06311,0.00375,0.99747,0.01322,0.08825,-0.00117,0.99601,0.04527,0.15098,0.00461,0.98749,1.00,0.01334,0.06155,-0.00082,0.99801,0.04558,0.12446,0.00409,0.99117,1.00
1324,9.47782,0.03292,0.06311,0.00359,0.99746,0.01289,0.08826,-0.00114,0.99601,0.04526,0.15098,0.00453,0.98749,1.00,0.01301,0.06156,-0.00080,0.99802,0.04556,0.12446,0.00399,0.99117,1.00
1337,9.00149,0.03316,0.06302,0.00372,0.99745,0.00925,0.08187,-0.00076,0.99660,0.04192,0.14452,0.00508,0.98860,1.00,0.00933,0.05511,-0.00052,0.99844,0.04218,0.11794,0.00444,0.99212,1.00
1351,8.50652,0.03340,0.06302,0.00365,0.99745,0.00900,0.08187,-0.00074,0.99660,0.04192,0.14452,0.00507,0.98860,1.00,0.00908,0.05511,-0.00050,0.99844,0.04218,0.11794,0.00441,0.99212,1.00
1365,7.99839,0.03367,0.06297,0.00360,0.99744,0.00963,0.07197,-0.00069,0.99736,0.04288,0.13465,0.00471,0.98995,1.00,0.00971,0.04512,-0.00044,0.99893,0.04312,0.10796,0.00406,0.99321,1.00
1379,7.49083,0.03393,0.06286,0.00356,0.99744,0.00936,0.07208,-0.00068,0.99735,0.04288,0.13464,0.00473,0.98995,1.00,0.00944,0.04523,-0.00043,0.99893,0.04312,0.10796,0.00407,0.99321,1.00
1393,6.96444,0.03420,0.06277,0.00338,0.99744,0.00906,0.07217,-0.00066,0.99735,0.04287,0.13465,0.00462,0.98996,1.00,0.00914,0.04533,-0.00041,0.99893,0.04311,0.10796,0.00394,0.99321,1.00
1407,6.44405,0.03443,0.06254,0.00325,0.99744,0.01000,0.05908,-0.00059,0.99820,0.04411,0.12141,0.00406,0.99161,1.00,0.01008,0.03214,-0.00032,0.99943,0.04433,0.09461,0.00340,0.99452,1.00
1421,5.91641,0.03462,0.06220,0.00323,0.99746,0.00981,0.05942,-0.00058,0.99818,0.04411,0.12141,0.00409,0.99161,1.00,0.00988,0.03248,-0.00032,0.99942,0.04433,0.09461,0.00342,0.99452,1.00
1435,5.37659,0.03475,0.06180,0.00327,0.99748,0.01035,0.04672,-0.00048,0.99885,0.04486,0.10838,0.00377,0.99309,1.00,0.01040,0.01971,-0.00021,0.99975,0.04504,0.08148,0.00311,0.99565,1.00
1449,4.84138,0.03499,0.06144,0.00327,0.99749,0.01012,0.04708,-0.00048,0.99884,0.04486,0.10838,0.00382,0.99309,1.00,0.01017,0.02007,-0.00020,0.99975,0.04505,0.08148,0.00315,0.99565,1.00
1463,4.29651,0.03534,0.06096,0.00326,0.99751,0.00868,0.03208,-0.00028,0.99945,0.04386,0.09297,0.00358,0.99470,1.00,0.00870,0.00503,-0.00004,0.99995,0.04400,0.06600,0.00286,0.99685,1.00
1476,3.75247,0.03556,0.06046,0.00333,0.99753,0.00847,0.03258,-0.00028,0.99943,0.04387,0.09296,0.00370,0.99470,1.00,0.00849,0.00552,-0.00005,0.99995,0.04400,0.06600,0.00297,0.99684,1.00
1491,3.18144,0.03577,0.05990,0.00334,0.99756,0.00827,0.03314,-0.00027,0.99942,0.04387,0.09296,0.00375,0.99470,1.00,0.00828,0.00608,-0.00005,0.99995,0.04401,0.06599,0.00301,0.99684,1.00
1504,2.65311,0.03589,0.05942,0.00310,0.99758,0.00601,0.02514,-0.00015,0.99967,0.04178,0.08450,0.00349,0.99554,1.00,0.00602,-0.00193,0.00001,0.99998,0.04190,0.05751,0.00268,0.99746,1.00
1518,2.10104,0.03599,0.05893,0.00296,0.99761,0.00589,0.02564,-0.00015,0.99965,0.04177,0.08450,0.00339,0.99554,1.00,0.00591,-0.00144,0.00001,0.99998,0.04189,0.05751,0.00257,0.99746,1.00
1532,1.54613,0.03595,0.05839,0.00289,0.99764,0.00598,0.01846,-0.00011,0.99981,0.04185,0.07682,0.00309,0.99616,1.00,0.00599,-0.00862,0.00005,0.99994,0.04196,0.04980,0.00228,0.99787,1.00
1546,0.99611,0.03592,0.05792,0.00267,0.99767,0.00599,0.01894,-0.00011,0.99980,0.04184,0.07682,0.00289,0.99616,1.00,0.00602,-0.00814,0.00005,0.99995,0.04195,0.04981,0.00208,0.99788,1.00
1560,0.43009,0.03583,0.05749,0.00267,0.99770,0.00638,0.00851,-0.00005,0.99994,0.04217,0.06600,0.00255,0.99693,1.00,0.00639,-0.01856,0.00012,0.99981,0.04225,0.03897,0.00175,0.99835,1.00
1574,-0.11798,0.03579,0.05710,0.00256,0.99772,0.00642,0.00891,-0.00006,0.99994,0.04216,0.06600,0.00246,0.99693,1.00,0.00643,-0.01816,0.00012,0.99981,0.04225,0.03898,0.00166,0.99835,1.00
1588,-0.67998,0.03580,0.05668,0.00239,0.99775,0.00639,0.00934,-0.00006,0.99994,0.04215,0.06601,0.00230,0.99693,1.00,0.00642,-0.01773,0.00011,0.99982,0.04224,0.03898,0.00150,0.99835,1.00
