Time_ms,Phase,PhaseTime_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,Fixation,0,0.00,0.00,0.05205,-0.00607,0.01272,-0.99855,0.13101,0.01499,0.00198,-0.99127,-0.18261,-0.00739,-0.01301,0.98307,0.13056,0.04272,0.00563,-0.99050,-0.18250,-0.03528,-0.01521,0.98246,0.00000,0.00000,1.00,1.00
333,Fixation,333,0.00,0.00,0.06152,-0.00678,0.01028,-0.99803,0.12008,0.01292,0.00156,-0.99268,-0.18106,-0.00503,-0.01015,0.98341,0.11973,0.04055,0.00489,-0.99197,-0.18098,-0.03282,-0.01177,0.98287,0.00000,0.00000,1.00,1.00
344,Fixation,344,0.00,0.00,0.06115,-0.00688,0.01006,-0.99805,0.12211,0.01416,0.00174,-0.99241,-0.18271,-0.00619,-0.01002,0.98310,0.12170,0.04180,0.00513,-0.99167,-0.18257,-0.03399,-0.01170,0.98254,0.00000,0.00000,1.00,1.00
351,Fixation,351,0.00,0.00,0.06092,-0.00693,0.00986,-0.99807,0.12234,0.01416,0.00175,-0.99239,-0.18272,-0.00615,-0.00982,0.98310,0.12195,0.04180,0.00514,-0.99164,-0.18257,-0.03396,-0.01152,0.98254,0.00000,0.00000,1.00,1.00
363,Fixation,363,0.00,0.00,0.06090,-0.00703,0.00986,-0.99807,0.12237,0.01425,0.00176,-0.99238,-0.18272,-0.00615,-0.00981,0.98310,0.12197,0.04190,0.00515,-0.99164,-0.18258,-0.03396,-0.01151,0.98254,0.00000,0.00000,1.00,1.00
373,Fixation,373,0.00,0.00,0.06125,-0.00706,0.00988,-0.99805,0.12089,0.01335,0.00163,-0.99258,-0.18159,-0.00522,-0.00976,0.98331,0.12048,0.04099,0.00498,-0.99186,-0.18143,-0.03302,-0.01141,0.98278,0.00000,0.00000,1.00,1.00
385,Fixation,385,0.00,0.00,0.06190,-0.00682,0.00970,-0.99801,0.12024,0.01305,0.00158,-0.99266,-0.18159,-0.00519,-0.00958,0.98331,0.11985,0.04068,0.00492,-0.99195,-0.18144,-0.03298,-0.01119,0.98279,0.00000,0.00000,1.00,1.00
397,Fixation,397,0.00,0.00,0.06286,-0.00656,0.00944,-0.99796,0.11930,0.01271,0.00153,-0.99278,-0.18159,-0.00514,-0.00932,0.98332,0.11892,0.04032,0.00483,-0.99207,-0.18145,-0.03292,-0.01088,0.98279,0.00000,0.00000,1.00,1.00
408,Fixation,408,0.00,0.00,0.06369,-0.00634,0.00935,-0.99791,0.11832,0.01338,0.00159,-0.99288,-0.18144,-0.00605,-0.00928,0.98334,0.11791,0.04098,0.00487,-0.99217,-0.18127,-0.03381,-0.01078,0.98279,0.00000,0.00000,1.00,1.00
419,Fixation,419,0.00,0.00,0.06419,-0.00621,0.00928,-0.99788,0.11782,0.01322,0.00157,-0.99295,-0.18144,-0.00603,-0.00920,0.98334,0.11742,0.04082,0.00483,-0.99223,-0.18127,-0.03379,-0.01068,0.98279,0.00000,0.00000,1.00,1.00
431,Fixation,431,0.00,0.00,0.06434,-0.00613,0.00926,-0.99787,0.11767,0.01313,0.00156,-0.99296,-0.18145,-0.00603,-0.00918,0.98334,0.11727,0.04073,0.00481,-0.99225,-0.18127,-0.03379,-0.01065,0.98279,0.00000,0.00000,1.00,1.00
442,Fixation,442,0.00,0.00,0.06425,-0.00614,0.00917,-0.99787,0.11983,0.01173,0.00142,-0.99272,-0.18347,-0.00460,-0.00903,0.98297,0.11943,0.03936,0.00474,-0.99205,-0.18330,-0.03239,-0.01057,0.98247,0.00000,0.00000,1.00,1.00
453,Fixation,453,0.00,0.00,0.06410,-0.00617,0.00898,-0.99788,0.11998,0.01170,0.00141,-0.99271,-0.18347,-0.00456,-0.00884,0.98298,0.11959,0.03933,0.00474,-0.99203,-0.18331,-0.03236,-0.01038,0.98247,0.00000,0.00000,1.00,1.00
465,Fixation,465,0.00,0.00,0.06372,-0.00632,0.00878,-0.99791,0.12036,0.01179,0.00143,-0.99266,-0.18347,-0.00453,-0.00863,0.98298,0.11998,0.03943,0.00477,-0.99198,-0.18331,-0.03232,-0.01020,0.98247,0.00000,0.00000,1.00,1.00
476,Fixation,476,0.00,0.00,0.06311,-0.00647,0.00862,-0.99795,0.12198,-0.00160,-0.00020,-0.99253,-0.18435,0.00908,-0.00768,0.98279,0.12182,0.02609,0.00320,-0.99220,-0.18443,-0.01876,-0.00932,0.98262,0.00000,0.00000,1.00,1.00
487,Fixation,487,0.00,0.00,0.06267,-0.00661,0.00848,-0.99798,0.12241,-0.00151,-0.00019,-0.99248,-0.18435,0.00911,-0.00751,0.98279,0.12225,0.02618,0.00323,-0.99215,-0.18443,-0.01874,-0.00918,0.98262,0.00000,0.00000,1.00,1.00
499,Fixation,499,0.00,0.00,0.06253,-0.00659,0.00843,-0.99799,0.12256,-0.00154,-0.00019,-0.99246,-0.18435,0.00912,-0.00747,0.98279,0.12240,0.02615,0.00323,-0.99213,-0.18443,-0.01873,-0.00914,0.98262,0.00000,0.00000,1.00,1.00
509,Fixation,509,0.00,0.00,0.06252,-0.00651,0.00846,-0.99799,0.12186,-0.00153,-0.00019,-0.99255,-0.18365,0.00904,-0.00751,0.98292,0.12168,0.02615,0.00321,-0.99222,-0.18371,-0.01881,-0.00916,0.98276,0.00000,0.00000,1.00,1.00
520,Fixation,520,0.00,0.00,0.06264,-0.00634,0.00861,-0.99798,0.12174,-0.00166,-0.00020,-0.99256,-0.18365,0.00901,-0.00767,0.98292,0.12155,0.02603,0.00319,-0.99224,-0.18370,-0.01884,-0.00932,0.98276,0.00000,0.00000,1.00,1.00
532,Fixation,532,0.00,0.00,0.06264,-0.00628,0.00868,-0.99798,0.12174,-0.00169,-0.00021,-0.99256,-0.18365,0.00899,-0.00775,0.98292,0.12155,0.02599,0.00318,-0.99224,-0.18370,-0.01885,-0.00940,0.98276,0.00000,0.00000,1.00,1.00
543,Fixation,543,0.00,0.00,0.06288,-0.00606,0.00884,-0.99796,0.12095,-0.00186,-0.00023,-0.99266,-0.18310,0.00895,-0.00793,0.98302,0.12074,0.02582,0.00314,-0.99234,-0.18313,-0.01888,-0.00955,0.98286,0.00000,0.00000,1.00,1.00
554,Fixation,554,0.00,0.00,0.06323,-0.00580,0.00893,-0.99794,0.12060,-0.00209,-0.00025,-0.99270,-0.18310,0.00893,-0.00805,0.98302,0.12039,0.02559,0.00310,-0.99239,-0.18313,-0.01890,-0.00964,0.98286,0.00000,0.00000,1.00,1.00
565,Fixation,565,0.00,0.00,0.06338,-0.00543,0.00896,-0.99793,0.12046,-0.00244,-0.00030,-0.99272,-0.18310,0.00892,-0.00810,0.98302,0.12024,0.02523,0.00306,-0.99242,-0.18313,-0.01891,-0.00969,0.98286,0.00000,0.00000,1.00,1.00
576,Fixation,576,0.00,0.00,0.06350,-0.00517,0.00946,-0.99792,0.12130,-0.00185,-0.00023,-0.99261,-0.18406,0.00814,-0.00865,0.98284,0.12105,0.02583,0.00315,-0.99231,-0.18407,-0.01970,-0.01026,0.98266,0.00000,0.00000,1.00,1.00
587,Fixation,587,0.00,0.00,0.06367,-0.00491,0.01000,-0.99791,0.12114,-0.00194,-0.00024,-0.99263,-0.18406,0.00803,-0.00922,0.98284,0.12086,0.02574,0.00314,-0.99233,-0.18406,-0.01981,-0.01082,0.98266,0.00000,0.00000,1.00,1.00
599,Fixation,599,0.00,0.00,0.06402,-0.00466,0.01062,-0.99788,0.12080,-0.00199,-0.00024,-0.99268,-0.18407,0.00791,-0.00986,0.98283,0.12048,0.02569,0.00312,-0.99238,-0.18404,-0.01993,-0.01144,0.98265,0.00000,0.00000,1.00,1.00
610,Fixation,610,0.00,0.00,0.06438,-0.00437,0.01110,-0.99785,0.12574,0.00262,0.00033,-0.99206,-0.18938,0.00310,-0.01063,0.98184,0.12534,0.03034,0.00383,-0.99164,-0.18927,-0.02479,-0.01233,0.98153,0.00000,0.00000,1.00,1.00
621,Fixation,621,0.00,0.00,0.06478,-0.00413,0.01169,-0.99782,0.12535,0.00257,0.00032,-0.99211,-0.18938,0.00298,-0.01123,0.98184,0.12492,0.03028,0.00381,-0.99170,-0.18926,-0.02490,-0.01292,0.98153,0.00000,0.00000,1.00,1.00
633,Fixation,633,0.00,0.00,0.06526,-0.00403,0.01217,-0.99779,0.12487,0.00262,0.00033,-0.99217,-0.18938,0.00288,-0.01173,0.98183,0.12441,0.03032,0.00380,-0.99176,-0.18925,-0.02499,-0.01339,0.98152,0.00000,0.00000,1.00,1.00
643,Fixation,643,0.00,0.00,0.06555,-0.00388,0.01253,-0.99776,0.14519,0.00835,0.00123,-0.98937,-0.20983,-0.00276,-0.01250,0.97765,0.14462,0.03628,0.00531,-0.98881,-0.20959,-0.03090,-0.01474,0.97719,0.00000,0.00000,1.00,1.00
654,Fixation,654,0.00,0.00,0.06566,-0.00385,0.01273,-0.99775,0.14508,0.00840,0.00123,-0.98938,-0.20983,-0.00280,-0.01272,0.97765,0.14450,0.03632,0.00531,-0.98882,-0.20959,-0.03094,-0.01494,0.97719,0.00000,0.00000,1.00,1.00
666,Fixation,666,0.00,0.00,0.06575,-0.00380,0.01290,-0.99775,0.14499,0.00840,0.00123,-0.98940,-0.20983,-0.00284,-0.01289,0.97765,0.14440,0.03633,0.00531,-0.98884,-0.20958,-0.03098,-0.01511,0.97718,0.00000,0.00000,1.00,1.00
676,Fixation,676,0.00,0.00,0.06583,-0.00379,0.01309,-0.99774,0.14583,0.00988,0.00146,-0.98926,-0.21076,-0.00429,-0.01320,0.97744,0.14528,0.03781,0.00556,-0.98865,-0.21055,-0.03244,-0.01544,0.97692,0.00000,0.00000,1.00,1.00
687,Fixation,687,0.00,0.00,0.06607,-0.00371,0.01333,-0.99772,0.14560,0.00988,0.00145,-0.98929,-0.21076,-0.00434,-0.01344,0.97744,0.14503,0.03781,0.00555,-0.98869,-0.21055,-0.03249,-0.01568,0.97692,0.00000,0.00000,1.00,1.00
699,Fixation,699,0.00,0.00,0.06632,-0.00383,0.01377,-0.99770,0.14534,0.01016,0.00149,-0.98933,-0.21076,-0.00444,-0.01388,0.97743,0.14475,0.03808,0.00558,-0.98872,-0.21053,-0.03258,-0.01610,0.97691,0.00000,0.00000,1.00,1.00
710,Fixation,710,0.00,0.00,0.06649,-0.00387,0.01417,-0.99768,0.14583,0.01033,0.00152,-0.98926,-0.21142,-0.00451,-0.01428,0.97728,0.14526,0.03826,0.00562,-0.98864,-0.21123,-0.03267,-0.01651,0.97675,0.00000,0.00000,1.00,1.00
721,Fixation,721,0.00,0.00,0.06657,-0.00410,0.01441,-0.99767,0.14574,0.01064,0.00157,-0.98926,-0.21142,-0.00456,-0.01451,0.97728,0.14517,0.03857,0.00566,-0.98864,-0.21122,-0.03271,-0.01673,0.97675,0.00000,0.00000,1.00,1.00
733,Fixation,733,0.00,0.00,0.06659,-0.00428,0.01453,-0.99767,0.14572,0.01086,0.00160,-0.98927,-0.21142,-0.00459,-0.01462,0.97728,0.14513,0.03879,0.00569,-0.98864,-0.21122,-0.03274,-0.01684,0.97675,0.00000,0.00000,1.00,1.00
744,Fixation,744,0.00,0.00,0.06656,-0.00456,0.01479,-0.99766,0.14407,0.01064,0.00155,-0.98951,-0.20975,-0.00408,-0.01481,0.97763,0.14353,0.03855,0.00560,-0.98888,-0.20961,-0.03221,-0.01699,0.97711,0.00000,0.00000,1.00,1.00
754,Fixation,754,0.00,0.00,0.06657,-0.00489,0.01508,-0.99766,0.14404,0.01107,0.00161,-0.98951,-0.20975,-0.00414,-0.01509,0.97763,0.14349,0.03898,0.00566,-0.98887,-0.20960,-0.03227,-0.01726,0.97710,0.00000,0.00000,1.00,1.00
766,Fixation,766,0.00,0.00,0.06645,-0.00519,0.01530,-0.99766,0.14415,0.01144,0.00167,-0.98949,-0.20975,-0.00418,-0.01529,0.97763,0.14359,0.03935,0.00571,-0.98884,-0.20960,-0.03231,-0.01747,0.97710,0.00000,0.00000,1.00,1.00
777,Fixation,777,0.00,0.00,0.06640,-0.00561,0.01559,-0.99766,0.14878,0.00849,0.00128,-0.98883,-0.21422,-0.00069,-0.01529,0.97666,0.14828,0.03647,0.00547,-0.98826,-0.21416,-0.02890,-0.01761,0.97621,0.00000,0.00000,1.00,1.00
788,Fixation,788,0.00,0.00,0.06627,-0.00597,0.01564,-0.99766,0.14890,0.00887,0.00133,-0.98881,-0.21422,-0.00070,-0.01532,0.97666,0.14841,0.03685,0.00553,-0.98822,-0.21415,-0.02890,-0.01764,0.97621,0.00000,0.00000,1.00,1.00
800,Fixation,800,0.00,0.00,0.06612,-0.00642,0.01579,-0.99767,0.14904,0.00935,0.00141,-0.98879,-0.21422,-0.00073,-0.01544,0.97666,0.14853,0.03733,0.00561,-0.98819,-0.21415,-0.02893,-0.01778,0.97621,0.00000,0.00000,1.00,1.00
810,Fixation,810,0.00,0.00,0.06592,-0.00677,0.01574,-0.99768,0.14541,0.01149,0.00169,-0.98930,-0.21048,-0.00258,-0.01552,0.97747,0.14491,0.03942,0.00578,-0.98864,-0.21041,-0.03073,-0.01775,0.97697,0.00000,0.00000,1.00,1.00
821,Fixation,821,0.00,0.00,0.06564,-0.00727,0.01583,-0.99769,0.14568,0.01200,0.00177,-0.98926,-0.21048,-0.00259,-0.01558,0.97747,0.14518,0.03993,0.00586,-0.98858,-0.21040,-0.03074,-0.01782,0.97697,0.00000,0.00000,1.00,1.00
833,Fixation,833,0.00,0.00,0.06535,-0.00759,0.01569,-0.99771,0.14597,0.01227,0.00181,-0.98921,-0.21048,-0.00256,-0.01542,0.97747,0.14547,0.04020,0.00592,-0.98853,-0.21041,-0.03071,-0.01768,0.97697,0.00000,0.00000,1.00,1.00
843,Fixation,843,0.00,0.00,0.06505,-0.00809,0.01550,-0.99773,0.14598,0.01297,0.00191,-0.98920,-0.21022,-0.00280,-0.01522,0.97753,0.14549,0.04090,0.00602,-0.98850,-0.21015,-0.03094,-0.01749,0.97702,0.00000,0.00000,1.00,1.00
854,Fixation,854,0.00,0.00,0.06473,-0.00849,0.01531,-0.99775,0.14630,0.01329,0.00197,-0.98915,-0.21022,-0.00275,-0.01500,0.97754,0.14582,0.04123,0.00608,-0.98843,-0.21015,-0.03090,-0.01729,0.97703,0.00000,0.00000,1.00,1.00
866,Fixation,866,0.00,0.00,0.06439,-0.00892,0.01519,-0.99777,0.14663,0.01367,0.00203,-0.98909,-0.21022,-0.00272,-0.01486,0.97754,0.14616,0.04161,0.00615,-0.98837,-0.21016,-0.03088,-0.01717,0.97703,0.00000,0.00000,1.00,1.00
877,Fixation,877,0.00,0.00,0.06413,-0.00925,0.01511,-0.99778,0.14629,0.01289,0.00191,-0.98916,-0.20962,-0.00163,-0.01467,0.97767,0.14582,0.04083,0.00602,-0.98845,-0.20956,-0.02978,-0.01698,0.97720,0.00000,0.00000,1.00,1.00
888,Fixation,888,0.00,0.00,0.06380,-0.00965,0.01514,-0.99780,0.14661,0.01330,0.00197,-0.98910,-0.20962,-0.00163,-0.01467,0.97767,0.14614,0.04124,0.00610,-0.98839,-0.20956,-0.02978,-0.01700,0.97719,0.00000,0.00000,1.00,1.00
900,Fixation,900,0.00,0.00,0.06355,-0.00998,0.01522,-0.99781,0.14685,0.01365,0.00203,-0.98906,-0.20961,-0.00164,-0.01475,0.97767,0.14637,0.04160,0.00616,-0.98834,-0.20956,-0.02980,-0.01709,0.97719,0.00000,0.00000,1.00,1.00
910,Fixation,910,0.00,0.00,0.06337,-0.01024,0.01524,-0.99782,0.14775,0.01500,0.00224,-0.98891,-0.21035,-0.00273,-0.01485,0.97751,0.14721,0.04294,0.00640,-0.98815,-0.21023,-0.03089,-0.01722,0.97701,0.00000,0.00000,1.00,1.00
921,Fixation,921,0.00,0.00,0.06334,-0.01057,0.01535,-0.99782,0.14778,0.01536,0.00230,-0.98890,-0.21035,-0.00275,-0.01493,0.97751,0.14723,0.04330,0.00645,-0.98813,-0.21023,-0.03091,-0.01731,0.97701,0.00000,0.00000,1.00,1.00
933,Fixation,933,0.00,0.00,0.06334,-0.01078,0.01536,-0.99782,0.14777,0.01557,0.00233,-0.98890,-0.21035,-0.00275,-0.01493,0.97751,0.14722,0.04352,0.00648,-0.98812,-0.21023,-0.03091,-0.01731,0.97701,0.00000,0.00000,1.00,1.00
944,Fixation,944,0.00,0.00,0.06354,-0.01099,0.01555,-0.99780,0.14805,0.01673,0.00250,-0.98884,-0.21084,-0.00368,-0.01519,0.97739,0.14745,0.04467,0.00667,-0.98804,-0.21067,-0.03184,-0.01756,0.97688,0.00000,0.00000,1.00,1.00
955,Fixation,955,0.00,0.00,0.06371,-0.01111,0.01566,-0.99778,0.14788,0.01688,0.00252,-0.98886,-0.21084,-0.00370,-0.01529,0.97739,0.14727,0.04482,0.00668,-0.98806,-0.21067,-0.03186,-0.01765,0.97688,0.00000,0.00000,1.00,1.00
967,Fixation,967,0.00,0.00,0.06384,-0.01123,0.01586,-0.99777,0.14774,0.01706,0.00255,-0.98888,-0.21084,-0.00374,-0.01548,0.97739,0.14712,0.04500,0.00670,-0.98807,-0.21066,-0.03190,-0.01783,0.97688,0.00000,0.00000,1.00,1.00
977,Fixation,977,0.00,0.00,0.06384,-0.01134,0.01604,-0.99777,0.14805,0.01668,0.00250,-0.98884,-0.21114,-0.00322,-0.01561,0.97733,0.14742,0.04462,0.00666,-0.98804,-0.21096,-0.03138,-0.01797,0.97683,0.00000,0.00000,1.00,1.00
988,Fixation,988,0.00,0.00,0.06395,-0.01138,0.01615,-0.99776,0.14794,0.01676,0.00251,-0.98885,-0.21114,-0.00324,-0.01572,0.97732,0.14731,0.04470,0.00666,-0.98806,-0.21096,-0.03140,-0.01807,0.97682,0.00000,0.00000,1.00,1.00
1000,Fixation,1000,0.00,0.00,0.06397,-0.01143,0.01613,-0.99776,0.14792,0.01680,0.00251,-0.98885,-0.21114,-0.00324,-0.01570,0.97732,0.14729,0.04474,0.00667,-0.98806,-0.21096,-0.03140,-0.01805,0.97682,0.00000,0.00000,1.00,1.00
1011,Fixation,1011,0.00,0.00,0.06396,-0.01143,0.01602,-0.99776,0.14849,0.01911,0.00287,-0.98873,-0.21173,-0.00557,-0.01578,0.97718,0.14782,0.04704,0.00704,-0.98787,-0.21150,-0.03373,-0.01815,0.97663,0.00000,0.00000,1.00,1.00
1022,Fixation,1022,0.00,0.00,0.06415,-0.01148,0.01588,-0.99775,0.14830,0.01910,0.00286,-0.98875,-0.21173,-0.00554,-0.01564,0.97719,0.14764,0.04703,0.00703,-0.98790,-0.21151,-0.03369,-0.01799,0.97663,0.00000,0.00000,1.00,1.00
1034,Fixation,1034,0.00,0.00,0.06451,-0.01143,0.01563,-0.99773,0.14795,0.01895,0.00284,-0.98881,-0.21173,-0.00548,-0.01537,0.97719,0.14731,0.04688,0.00699,-0.98795,-0.21152,-0.03363,-0.01771,0.97663,0.00000,0.00000,1.00,1.00
1044,Fixation,1044,0.00,0.00,0.06475,-0.01145,0.01590,-0.99771,0.14898,0.02011,0.00303,-0.98863,-0.21301,-0.00657,-0.01574,0.97690,0.14830,0.04804,0.00721,-0.98775,-0.21276,-0.03473,-0.01809,0.97632,0.00000,0.00000,1.00,1.00
1055,Fixation,1055,0.00,0.00,0.06501,-0.01157,0.01619,-0.99769,0.14872,0.02033,0.00306,-0.98867,-0.21301,-0.00663,-0.01602,0.97690,0.14802,0.04826,0.00723,-0.98778,-0.21276,-0.03479,-0.01836,0.97631,0.00000,0.00000,1.00,1.00
1067,Fixation,1067,0.00,0.00,0.06537,-0.01164,0.01651,-0.99766,0.14835,0.02050,0.00308,-0.98872,-0.21301,-0.00669,-0.01633,0.97689,0.14763,0.04842,0.00724,-0.98783,-0.21275,-0.03485,-0.01865,0.97631,0.00000,0.00000,1.00,1.00
1078,Fixation,1078,0.00,0.00,0.06567,-0.01166,0.01655,-0.99764,0.15140,0.02172,0.00333,-0.98823,-0.21634,-0.00785,-0.01648,0.97615,0.15064,0.04968,0.00758,-0.98731,-0.21603,-0.03605,-0.01888,0.97554,0.00000,0.00000,1.00,1.00
1088,Fixation,1088,0.00,0.00,0.06597,-0.01166,0.01646,-0.99762,0.15111,0.02168,0.00331,-0.98827,-0.21634,-0.00783,-0.01638,0.97615,0.15035,0.04963,0.00756,-0.98736,-0.21604,-0.03602,-0.01877,0.97554,0.00000,0.00000,1.00,1.00
1100,Fixation,1100,0.00,0.00,0.06627,-0.01168,0.01617,-0.99760,0.15082,0.02158,0.00329,-0.98832,-0.21634,-0.00776,-0.01608,0.97615,0.15009,0.04953,0.00753,-0.98740,-0.21605,-0.03595,-0.01844,0.97555,0.00000,0.00000,1.00,1.00
1111,Fixation,1111,0.00,0.00,0.06645,-0.01166,0.01595,-0.99759,0.15091,0.02137,0.00326,-0.98831,-0.21660,-0.00761,-0.01584,0.97610,0.15020,0.04932,0.00750,-0.98740,-0.21633,-0.03580,-0.01820,0.97549,0.00000,0.00000,1.00,1.00
1122,Fixation,1122,0.00,0.00,0.06665,-0.01169,0.01584,-0.99758,0.15072,0.02136,0.00326,-0.98834,-0.21660,-0.00758,-0.01572,0.97610,0.15002,0.04931,0.00749,-0.98742,-0.21633,-0.03577,-0.01807,0.97550,0.00000,0.00000,1.00,1.00
1134,Fixation,1134,0.00,0.00,0.06670,-0.01177,0.01588,-0.99758,0.15066,0.02145,0.00327,-0.98835,-0.21660,-0.00759,-0.01576,0.97610,0.14996,0.04940,0.00750,-0.98743,-0.21633,-0.03578,-0.01811,0.97550,0.00000,0.00000,1.00,1.00
1145,Fixation,1145,0.00,0.00,0.06678,-0.01175,0.01594,-0.99757,0.15129,0.02590,0.00397,-0.98814,-0.21738,-0.01209,-0.01620,0.97588,0.15049,0.05384,0.00821,-0.98711,-0.21700,-0.04026,-0.01856,0.97516,0.00000,0.00000,1.00,1.00
1155,Fixation,1155,0.00,0.00,0.06673,-0.01164,0.01589,-0.99758,0.15135,0.02579,0.00395,-0.98814,-0.21738,-0.01208,-0.01616,0.97588,0.15055,0.05372,0.00819,-0.98711,-0.21700,-0.04025,-0.01852,0.97517,0.00000,0.00000,1.00,1.00
1167,Fixation,1167,0.00,0.00,0.06686,-0.01161,0.01588,-0.99757,0.15122,0.02574,0.00394,-0.98816,-0.21738,-0.01207,-0.01614,0.97588,0.15043,0.05368,0.00818,-0.98713,-0.21700,-0.04025,-0.01850,0.97517,0.00000,0.00000,1.00,1.00
1178,Fixation,1178,0.00,0.00,0.06704,-0.01142,0.01578,-0.99756,0.14891,0.02591,0.00390,-0.98850,-0.21527,-0.01247,-0.01606,0.97634,0.14811,0.05382,0.00807,-0.98747,-0.21489,-0.04061,-0.01834,0.97562,0.00000,0.00000,1.00,1.00
1189,Fixation,1189,0.00,0.00,0.06739,-0.01127,0.01587,-0.99754,0.14857,0.02580,0.00388,-0.98856,-0.21527,-0.01249,-0.01614,0.97634,0.14776,0.05370,0.00803,-0.98753,-0.21489,-0.04063,-0.01840,0.97562,0.00000,0.00000,1.00,1.00
1201,Fixation,1201,0.00,0.00,0.06789,-0.01116,0.01600,-0.99750,0.14807,0.02573,0.00385,-0.98864,-0.21527,-0.01252,-0.01626,0.97634,0.14726,0.05362,0.00799,-0.98761,-0.21489,-0.04065,-0.01849,0.97562,0.00000,0.00000,1.00,1.00
1211,Fixation,1211,0.00,0.00,0.06822,-0.01099,0.01618,-0.99748,0.14809,0.02579,0.00386,-0.98863,-0.21562,-0.01273,-0.01646,0.97626,0.14727,0.05368,0.00801,-0.98761,-0.21522,-0.04086,-0.01868,0.97553,0.00000,0.00000,1.00,1.00
1222,Fixation,1222,0.00,0.00,0.06847,-0.01076,0.01614,-0.99746,0.14784,0.02555,0.00382,-0.98867,-0.21562,-0.01272,-0.01643,0.97626,0.14702,0.05344,0.00795,-0.98766,-0.21523,-0.04085,-0.01864,0.97553,0.00000,0.00000,1.00,1.00
1234,Fixation,1234,0.00,0.00,0.06864,-0.01053,0.01582,-0.99746,0.14770,0.02521,0.00377,-0.98870,-0.21562,-0.01265,-0.01611,0.97626,0.14690,0.05310,0.00790,-0.98769,-0.21524,-0.04078,-0.01831,0.97554,0.00000,0.00000,1.00,1.00
1245,Fixation,1245,0.00,0.00,0.06872,-0.01022,0.01555,-0.99746,0.14852,0.02490,0.00374,-0.98859,-0.21651,-0.01268,-0.01587,0.97607,0.14774,0.05280,0.00790,-0.98758,-0.21614,-0.04081,-0.01809,0.97534,0.00000,0.00000,1.00,1.00
1256,Fixation,1256,0.00,0.00,0.06854,-0.00988,0.01542,-0.99748,0.14871,0.02453,0.00369,-0.98857,-0.21651,-0.01266,-0.01578,0.97607,0.14794,0.05243,0.00785,-0.98757,-0.21614,-0.04080,-0.01801,0.97534,0.00000,0.00000,1.00,1.00
1268,Fixation,1268,0.00,0.00,0.06839,-0.00956,0.01559,-0.99749,0.14886,0.02428,0.00366,-0.98855,-0.21651,-0.01270,-0.01598,0.97607,0.14807,0.05219,0.00783,-0.98757,-0.21614,-0.04084,-0.01822,0.97534,0.00000,0.00000,1.00,1.00
1278,Fixation,1278,0.00,0.00,0.06821,-0.00918,0.01571,-0.99751,0.15094,0.02344,0.00358,-0.98826,-0.21838,-0.01218,-0.01611,0.97566,0.15016,0.05138,0.00781,-0.98730,-0.21801,-0.04036,-0.01842,0.97494,0.00000,0.00000,1.00,1.00
1289,Fixation,1289,0.00,0.00,0.06820,-0.00871,0.01578,-0.99751,0.15096,0.02301,0.00352,-0.98827,-0.21838,-0.01221,-0.01622,0.97565,0.15017,0.05095,0.00775,-0.98732,-0.21800,-0.04038,-0.01853,0.97494,0.00000,0.00000,1.00,1.00
1301,Fixation,1301,0.00,0.00,0.06830,-0.00826,0.01567,-0.99751,0.15087,0.02254,0.00344,-0.98829,-0.21838,-0.01219,-0.01613,0.97565,0.15008,0.05047,0.00767,-0.98735,-0.21800,-0.04036,-0.01843,0.97494,0.00000,0.00000,1.00,1.00
1312,Fixation,1312,0.00,0.00,0.06843,-0.00787,0.01554,-0.99750,0.14956,0.02360,0.00357,-0.98846,-0.21722,-0.01369,-0.01614,0.97589,0.14877,0.05152,0.00776,-0.98750,-0.21683,-0.04184,-0.01840,0.97514,0.00000,0.00000,1.00,1.00
1323,Fixation,1323,0.00,0.00,0.06855,-0.00739,0.01529,-0.99750,0.14946,0.02304,0.00348,-0.98849,-0.21722,-0.01364,-0.01591,0.97590,0.14868,0.05096,0.00767,-0.98754,-0.21684,-0.04179,-0.01816,0.97514,0.00000,0.00000,1.00,1.00
1334,Fixation,1334,0.00,0.00,0.06854,-0.00693,0.01521,-0.99751,0.14922,0.02206,0.00333,-0.98855,-0.21697,-0.01312,-0.01581,0.97596,0.14848,0.04998,0.00751,-0.98762,-0.21662,-0.04127,-0.01806,0.97522,0.00000,0.00000,1.00,1.00
1345,Fixation,1345,0.00,0.00,0.06855,-0.00653,0.01524,-0.99751,0.14922,0.02169,0.00327,-0.98856,-0.21696,-0.01313,-0.01587,0.97596,0.14847,0.04961,0.00746,-0.98764,-0.21661,-0.04128,-0.01812,0.97522,0.00000,0.00000,1.00,1.00
1356,Fixation,1356,0.00,0.00,0.06856,-0.00614,0.01526,-0.99751,0.14921,0.02132,0.00322,-0.98857,-0.21696,-0.01314,-0.01591,0.97596,0.14847,0.04924,0.00740,-0.98766,-0.21661,-0.04129,-0.01816,0.97522,0.00000,0.00000,1.00,1.00
