Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,0.08267,-0.02154,0.01717,-0.99620,0.09692,0.00121,0.00012,-0.99529,-0.17886,0.02189,-0.01502,0.98352,1.00,0.09675,0.02866,0.00279,-0.99489,-0.17919,-0.00569,-0.01540,0.98368,1.00
11,0.00,0.00,0.08270,-0.02148,0.01717,-0.99620,0.09681,0.00293,0.00029,-0.99530,-0.17881,0.02010,-0.01505,0.98356,1.00,0.09661,0.03038,0.00295,-0.99485,-0.17910,-0.00748,-0.01543,0.98368,1.00
22,0.00,0.00,0.08267,-0.02149,0.01727,-0.99620,0.09684,0.00297,0.00029,-0.99530,-0.17881,0.02008,-0.01515,0.98356,1.00,0.09662,0.03041,0.00295,-0.99485,-0.17909,-0.00749,-0.01554,0.98368,1.00
33,0.00,0.00,0.08272,-0.02139,0.01727,-0.99619,0.09680,0.00287,0.00028,-0.99530,-0.17881,0.02008,-0.01516,0.98356,1.00,0.09658,0.03031,0.00294,-0.99486,-0.17909,-0.00749,-0.01554,0.98368,1.00
45,0.00,0.00,0.08321,-0.02102,0.01710,-0.99616,0.09627,0.00256,0.00025,-0.99535,-0.17877,0.02000,-0.01503,0.98357,1.00,0.09606,0.03000,0.00290,-0.99492,-0.17905,-0.00757,-0.01538,0.98369,1.00
56,0.00,0.00,0.08385,-0.02051,0.01654,-0.99613,0.09564,0.00190,0.00018,-0.99541,-0.17876,0.02009,-0.01452,0.98358,1.00,0.09545,0.02933,0.00281,-0.99500,-0.17905,-0.00747,-0.01484,0.98370,1.00
67,0.00,0.00,0.08465,-0.01985,0.01573,-0.99609,0.09483,0.00102,0.00010,-0.99549,-0.17875,0.02022,-0.01378,0.98359,1.00,0.09469,0.02845,0.00271,-0.99510,-0.17906,-0.00733,-0.01406,0.98371,1.00
78,0.00,0.00,0.08531,-0.01913,0.01488,-0.99606,0.09453,-0.00398,-0.00038,-0.99551,-0.17902,0.02445,-0.01297,0.98346,1.00,0.09449,0.02345,0.00223,-0.99525,-0.17941,-0.00311,-0.01322,0.98368,1.00
89,0.00,0.00,0.08556,-0.01850,0.01425,-0.99606,0.09427,-0.00477,-0.00045,-0.99554,-0.17900,0.02455,-0.01241,0.98346,1.00,0.09426,0.02266,0.00215,-0.99529,-0.17941,-0.00300,-0.01264,0.98369,1.00
100,0.00,0.00,0.08551,-0.01815,0.01395,-0.99607,0.09584,-0.00373,-0.00036,-0.99539,-0.18052,0.02314,-0.01210,0.98322,1.00,0.09579,0.02372,0.00228,-0.99512,-0.18087,-0.00442,-0.01239,0.98342,1.00
111,0.00,0.00,0.08502,-0.01792,0.01379,-0.99612,0.09633,-0.00399,-0.00039,-0.99534,-0.18052,0.02317,-0.01195,0.98323,1.00,0.09628,0.02346,0.00227,-0.99508,-0.18087,-0.00440,-0.01226,0.98342,1.00
123,0.00,0.00,0.08429,-0.01789,0.01362,-0.99619,0.09705,-0.00406,-0.00040,-0.99527,-0.18051,0.02321,-0.01176,0.98323,1.00,0.09701,0.02339,0.00228,-0.99501,-0.18087,-0.00437,-0.01211,0.98342,1.00
134,0.00,0.00,0.08341,-0.01785,0.01351,-0.99626,0.09855,-0.00308,-0.00030,-0.99513,-0.18115,0.02219,-0.01164,0.98314,1.00,0.09845,0.02439,0.00241,-0.99484,-0.18144,-0.00541,-0.01205,0.98331,1.00
145,0.00,0.00,0.08296,-0.01769,0.01315,-0.99631,0.09900,-0.00333,-0.00033,-0.99508,-0.18114,0.02225,-0.01128,0.98314,1.00,0.09892,0.02415,0.00240,-0.99480,-0.18144,-0.00535,-0.01172,0.98332,1.00
156,0.00,0.00,0.08297,-0.01743,0.01250,-0.99632,0.09898,-0.00377,-0.00037,-0.99508,-0.18112,0.02237,-0.01066,0.98315,1.00,0.09894,0.02370,0.00236,-0.99481,-0.18145,-0.00524,-0.01110,0.98332,1.00
167,0.00,0.00,0.08350,-0.01713,0.01193,-0.99629,0.09687,-0.00332,-0.00032,-0.99529,-0.17958,0.02153,-0.01017,0.98346,1.00,0.09681,0.02414,0.00235,-0.99501,-0.17987,-0.00605,-0.01053,0.98362,1.00
178,0.00,0.00,0.08441,-0.01692,0.01158,-0.99622,0.09596,-0.00362,-0.00035,-0.99538,-0.17957,0.02159,-0.00986,0.98346,1.00,0.09592,0.02383,0.00230,-0.99510,-0.17987,-0.00598,-0.01017,0.98362,1.00
189,0.00,0.00,0.08534,-0.01678,0.01133,-0.99615,0.09503,-0.00383,-0.00037,-0.99547,-0.17957,0.02163,-0.00965,0.98346,1.00,0.09500,0.02361,0.00225,-0.99519,-0.17987,-0.00594,-0.00992,0.98362,1.00
201,0.00,0.00,0.08596,-0.01668,0.01129,-0.99610,0.09441,-0.00394,-0.00037,-0.99553,-0.17957,0.02163,-0.00963,0.98346,1.00,0.09439,0.02349,0.00223,-0.99526,-0.17987,-0.00593,-0.00987,0.98362,1.00
212,0.00,0.00,0.08632,-0.01667,0.01112,-0.99607,0.09341,-0.00332,-0.00031,-0.99562,-0.17894,0.02097,-0.00949,0.98359,1.00,0.09334,0.02411,0.00226,-0.99534,-0.17919,-0.00658,-0.00968,0.98374,1.00
223,0.00,0.00,0.08653,-0.01660,0.01066,-0.99605,0.09319,-0.00351,-0.00033,-0.99564,-0.17894,0.02105,-0.00905,0.98359,1.00,0.09314,0.02391,0.00224,-0.99536,-0.17920,-0.00650,-0.00923,0.98375,1.00
234,0.00,0.00,0.08664,-0.01633,0.01016,-0.99605,0.09513,-0.00321,-0.00031,-0.99546,-0.18097,0.02044,-0.00853,0.98324,1.00,0.09506,0.02423,0.00231,-0.99517,-0.18119,-0.00712,-0.00877,0.98338,1.00
245,0.00,0.00,0.08712,-0.01601,0.00985,-0.99602,0.09465,-0.00361,-0.00034,-0.99550,-0.18096,0.02049,-0.00826,0.98324,1.00,0.09460,0.02383,0.00226,-0.99523,-0.18119,-0.00707,-0.00847,0.98339,1.00
256,0.00,0.00,0.08779,-0.01550,0.00955,-0.99597,0.09398,-0.00419,-0.00040,-0.99557,-0.18096,0.02054,-0.00803,0.98324,1.00,0.09394,0.02324,0.00219,-0.99530,-0.18120,-0.00702,-0.00819,0.98339,1.00
267,0.00,0.00,0.08856,-0.01483,0.00932,-0.99592,0.12249,0.00608,0.00075,-0.99245,-0.20995,0.00974,-0.00764,0.97763,1.00,0.12219,0.03375,0.00416,-0.99192,-0.20992,-0.01813,-0.00859,0.97751,1.00
279,0.00,0.00,0.08928,-0.01412,0.00915,-0.99586,0.12178,0.00533,0.00065,-0.99254,-0.20995,0.00977,-0.00754,0.97763,1.00,0.12150,0.03299,0.00404,-0.99204,-0.20992,-0.01810,-0.00844,0.97751,1.00
290,0.00,0.00,0.09006,-0.01339,0.00908,-0.99580,0.12101,0.00459,0.00056,-0.99264,-0.20995,0.00977,-0.00754,0.97763,1.00,0.12073,0.03225,0.00392,-0.99215,-0.20992,-0.01809,-0.00840,0.97752,1.00
301,0.00,0.00,0.09071,-0.01275,0.00898,-0.99576,0.12246,0.00543,0.00067,-0.99246,-0.21203,0.00828,-0.00752,0.97720,1.00,0.12214,0.03310,0.00408,-0.99195,-0.21195,-0.01959,-0.00841,0.97705,1.00
312,0.00,0.00,0.09123,-0.01205,0.00887,-0.99572,0.12196,0.00472,0.00058,-0.99252,-0.21203,0.00829,-0.00748,0.97720,1.00,0.12164,0.03238,0.00397,-0.99204,-0.21195,-0.01957,-0.00833,0.97705,1.00
323,0.00,0.00,0.09126,-0.01155,0.00893,-0.99572,0.12193,0.00425,0.00052,-0.99253,-0.21203,0.00827,-0.00759,0.97720,1.00,0.12161,0.03192,0.00391,-0.99206,-0.21195,-0.01960,-0.00844,0.97705,1.00
334,0.00,0.00,0.09107,-0.01112,0.00891,-0.99574,0.12391,0.00381,0.00048,-0.99229,-0.21380,0.00830,-0.00759,0.97681,1.00,0.12359,0.03150,0.00393,-0.99183,-0.21372,-0.01959,-0.00850,0.97666,1.00
345,0.00,0.00,0.09116,-0.01061,0.00864,-0.99574,0.12383,0.00323,0.00040,-0.99230,-0.21379,0.00835,-0.00737,0.97682,1.00,0.12352,0.03092,0.00385,-0.99185,-0.21372,-0.01954,-0.00827,0.97666,1.00
357,0.00,0.00,0.09152,-0.01025,0.00829,-0.99572,0.12347,0.00275,0.00034,-0.99234,-0.21379,0.00842,-0.00705,0.97682,1.00,0.12318,0.03044,0.00378,-0.99191,-0.21373,-0.01947,-0.00794,0.97667,1.00
368,0.00,0.00,0.09205,-0.00984,0.00812,-0.99567,0.12177,0.00264,0.00032,-0.99256,-0.21263,0.00811,-0.00694,0.97708,1.00,0.12150,0.03031,0.00371,-0.99212,-0.21258,-0.01977,-0.00777,0.97691,1.00
379,0.00,0.00,0.09241,-0.00959,0.00825,-0.99564,0.12140,0.00244,0.00030,-0.99260,-0.21263,0.00807,-0.00710,0.97707,1.00,0.12113,0.03011,0.00368,-0.99217,-0.21257,-0.01979,-0.00790,0.97691,1.00
390,0.00,0.00,0.09246,-0.00942,0.00869,-0.99563,0.12136,0.00242,0.00030,-0.99261,-0.21263,0.00797,-0.00755,0.97707,1.00,0.12106,0.03009,0.00367,-0.99218,-0.21257,-0.01989,-0.00835,0.97691,1.00
401,0.00,0.00,0.09243,-0.00926,0.00888,-0.99564,0.12219,-0.00057,-0.00007,-0.99251,-0.21338,0.01085,-0.00767,0.97688,1.00,0.12193,0.02711,0.00333,-0.99216,-0.21337,-0.01703,-0.00849,0.97679,1.00
412,0.00,0.00,0.09227,-0.00926,0.00889,-0.99565,0.12235,-0.00057,-0.00007,-0.99249,-0.21338,0.01085,-0.00767,0.97688,1.00,0.12209,0.02712,0.00334,-0.99214,-0.21337,-0.01704,-0.00851,0.97679,1.00
424,0.00,0.00,0.09211,-0.00930,0.00889,-0.99567,0.12251,-0.00053,-0.00006,-0.99247,-0.21338,0.01085,-0.00767,0.97688,1.00,0.12225,0.02716,0.00335,-0.99212,-0.21337,-0.01704,-0.00851,0.97679,1.00
435,0.00,0.00,0.09205,-0.00932,0.00891,-0.99567,0.12253,-0.00162,-0.00020,-0.99246,-0.21335,0.01197,-0.00765,0.97687,1.00,0.12231,0.02607,0.00321,-0.99214,-0.21338,-0.01592,-0.00850,0.97680,1.00
446,0.00,0.00,0.09178,-0.00947,0.00892,-0.99569,0.12280,-0.00147,-0.00018,-0.99243,-0.21335,0.01198,-0.00764,0.97687,1.00,0.12259,0.02622,0.00324,-0.99211,-0.21338,-0.01592,-0.00850,0.97680,1.00
457,0.00,0.00,0.09135,-0.00962,0.00900,-0.99573,0.12324,-0.00129,-0.00016,-0.99238,-0.21335,0.01196,-0.00770,0.97687,1.00,0.12301,0.02640,0.00327,-0.99205,-0.21338,-0.01594,-0.00859,0.97680,1.00
468,0.00,0.00,0.09124,-0.00963,0.00936,-0.99574,0.12314,-0.00082,-0.00010,-0.99239,-0.21315,0.01154,-0.00808,0.97692,1.00,0.12290,0.02688,0.00333,-0.99205,-0.21317,-0.01636,-0.00897,0.97684,1.00
479,0.00,0.00,0.09124,-0.00955,0.00965,-0.99574,0.12314,-0.00080,-0.00010,-0.99239,-0.21315,0.01147,-0.00837,0.97692,1.00,0.12288,0.02690,0.00333,-0.99205,-0.21317,-0.01643,-0.00926,0.97683,1.00
491,0.00,0.00,0.09136,-0.00949,0.00997,-0.99572,0.12303,-0.00075,-0.00009,-0.99240,-0.21316,0.01140,-0.00870,0.97691,1.00,0.12275,0.02695,0.00333,-0.99207,-0.21316,-0.01650,-0.00959,0.97683,1.00
502,0.00,0.00,0.09157,-0.00928,0.01011,-0.99570,0.12240,-0.00108,-0.00013,-0.99248,-0.21274,0.01154,-0.00887,0.97700,1.00,0.12214,0.02661,0.00328,-0.99215,-0.21276,-0.01635,-0.00973,0.97692,1.00
513,0.00,0.00,0.09193,-0.00907,0.01007,-0.99567,0.12204,-0.00130,-0.00016,-0.99252,-0.21274,0.01154,-0.00885,0.97700,1.00,0.12178,0.02639,0.00324,-0.99220,-0.21276,-0.01634,-0.00969,0.97692,1.00
524,0.00,0.00,0.09259,-0.00852,0.00988,-0.99562,0.12138,-0.00190,-0.00023,-0.99260,-0.21274,0.01157,-0.00872,0.97700,1.00,0.12113,0.02578,0.00315,-0.99230,-0.21277,-0.01631,-0.00952,0.97692,1.00
535,0.00,0.00,0.09373,-0.00783,0.00970,-0.99552,0.12007,-0.00087,-0.00011,-0.99277,-0.21257,0.00981,-0.00866,0.97706,1.00,0.11984,0.02679,0.00324,-0.99243,-0.21260,-0.01805,-0.00939,0.97693,1.00
546,0.00,0.00,0.09485,-0.00706,0.00977,-0.99542,0.11896,-0.00159,-0.00019,-0.99290,-0.21257,0.00978,-0.00882,0.97706,1.00,0.11872,0.02606,0.00312,-0.99258,-0.21260,-0.01807,-0.00949,0.97693,1.00
557,0.00,0.00,0.09558,-0.00636,0.01043,-0.99535,0.11824,-0.00206,-0.00024,-0.99298,-0.21258,0.00962,-0.00955,0.97705,1.00,0.11797,0.02559,0.00304,-0.99268,-0.21259,-0.01822,-0.01018,0.97692,1.00
568,0.00,0.00,0.09569,-0.00574,0.01169,-0.99533,0.12102,-0.00113,-0.00014,-0.99265,-0.21543,0.00825,-0.01088,0.97642,1.00,0.12068,0.02654,0.00323,-0.99233,-0.21540,-0.01962,-0.01158,0.97626,1.00
579,0.00,0.00,0.09566,-0.00507,0.01319,-0.99531,0.12106,-0.00127,-0.00015,-0.99264,-0.21544,0.00791,-0.01245,0.97641,1.00,0.12063,0.02640,0.00321,-0.99234,-0.21536,-0.01996,-0.01315,0.97624,1.00
591,0.00,0.00,0.09583,-0.00442,0.01466,-0.99528,0.12091,-0.00140,-0.00017,-0.99266,-0.21545,0.00757,-0.01398,0.97639,1.00,0.12040,0.02627,0.00319,-0.99237,-0.21533,-0.02030,-0.01467,0.97622,1.00
602,0.00,0.00,0.09636,-0.00375,0.01538,-0.99522,0.12064,-0.00138,-0.00017,-0.99269,-0.21570,0.00697,-0.01478,0.97632,1.00,0.12020,0.02629,0.00318,-0.99240,-0.21567,-0.02090,-0.01545,0.97612,1.00
613,0.00,0.00,0.09689,-0.00316,0.01560,-0.99517,0.12013,-0.00189,-0.00023,-0.99276,-0.21570,0.00691,-0.01507,0.97632,1.00,0.11967,0.02578,0.00311,-0.99247,-0.21566,-0.02095,-0.01570,0.97612,1.00
624,0.00,0.00,0.09714,-0.00266,0.01554,-0.99515,0.11989,-0.00239,-0.00029,-0.99278,-0.21570,0.00691,-0.01506,0.97632,1.00,0.11943,0.02527,0.00304,-0.99252,-0.21566,-0.02095,-0.01568,0.97612,1.00
635,0.00,0.00,0.09734,-0.00245,0.01569,-0.99512,0.11838,-0.00349,-0.00042,-0.99296,-0.21440,0.00780,-0.01521,0.97660,1.00,0.11809,0.02416,0.00287,-0.99270,-0.21453,-0.02004,-0.01579,0.97638,1.00
646,0.00,0.00,0.09727,-0.00240,0.01576,-0.99513,0.11845,-0.00352,-0.00042,-0.99295,-0.21440,0.00779,-0.01529,0.97660,1.00,0.11816,0.02413,0.00287,-0.99270,-0.21453,-0.02005,-0.01587,0.97638,1.00
658,0.00,0.00,0.09660,-0.00252,0.01561,-0.99520,0.11911,-0.00344,-0.00041,-0.99287,-0.21440,0.00782,-0.01512,0.97660,1.00,0.11883,0.02422,0.00290,-0.99262,-0.21453,-0.02003,-0.01575,0.97638,1.00
669,0.00,0.00,0.09558,-0.00279,0.01531,-0.99530,0.12084,-0.00379,-0.00046,-0.99266,-0.21509,0.00844,-0.01477,0.97645,1.00,0.12066,0.02389,0.00290,-0.99240,-0.21532,-0.01944,-0.01547,0.97623,1.00
680,0.00,0.00,0.09436,-0.00328,0.01516,-0.99542,0.12204,-0.00336,-0.00041,-0.99252,-0.21509,0.00848,-0.01456,0.97645,1.00,0.12187,0.02433,0.00299,-0.99224,-0.21533,-0.01941,-0.01533,0.97623,1.00
691,0.00,0.00,0.09309,-0.00392,0.01512,-0.99553,0.12330,-0.00273,-0.00034,-0.99237,-0.21509,0.00851,-0.01444,0.97645,1.00,0.12313,0.02497,0.00310,-0.99207,-0.21533,-0.01940,-0.01528,0.97623,1.00
702,0.00,0.00,0.09207,-0.00459,0.01486,-0.99563,0.12336,-0.00212,-0.00026,-0.99236,-0.21415,0.00853,-0.01411,0.97666,1.00,0.12321,0.02558,0.00318,-0.99205,-0.21441,-0.01938,-0.01499,0.97644,1.00
713,0.00,0.00,0.09136,-0.00536,0.01433,-0.99570,0.12405,-0.00155,-0.00019,-0.99227,-0.21415,0.00866,-0.01350,0.97667,1.00,0.12393,0.02616,0.00327,-0.99194,-0.21442,-0.01925,-0.01442,0.97645,1.00
724,0.00,0.00,0.09084,-0.00616,0.01382,-0.99575,0.12456,-0.00095,-0.00012,-0.99221,-0.21414,0.00879,-0.01291,0.97668,1.00,0.12447,0.02677,0.00336,-0.99186,-0.21443,-0.01913,-0.01386,0.97645,1.00
736,0.00,0.00,0.09079,-0.00701,0.01386,-0.99575,0.12414,0.00065,0.00008,-0.99226,-0.21371,0.00802,-0.01291,0.97678,1.00,0.12400,0.02836,0.00355,-0.99187,-0.21394,-0.01989,-0.01384,0.97655,1.00
746,0.00,0.00,0.09089,-0.00773,0.01386,-0.99574,0.12404,0.00134,0.00017,-0.99228,-0.21371,0.00804,-0.01284,0.97678,1.00,0.12390,0.02905,0.00363,-0.99186,-0.21395,-0.01987,-0.01376,0.97655,1.00
758,0.00,0.00,0.09110,-0.00827,0.01359,-0.99571,0.12381,0.00176,0.00022,-0.99230,-0.21371,0.00811,-0.01252,0.97678,1.00,0.12369,0.02947,0.00367,-0.99188,-0.21395,-0.01980,-0.01343,0.97655,1.00
769,0.00,0.00,0.09139,-0.00870,0.01312,-0.99569,0.12546,0.00159,0.00020,-0.99210,-0.21561,0.00868,-0.01198,0.97637,1.00,0.12530,0.02931,0.00370,-0.99168,-0.21580,-0.01925,-0.01293,0.97616,1.00
780,0.00,0.00,0.09148,-0.00907,0.01266,-0.99568,0.12536,0.00179,0.00023,-0.99211,-0.21561,0.00879,-0.01148,0.97637,1.00,0.12522,0.02951,0.00373,-0.99168,-0.21581,-0.01914,-0.01243,0.97617,1.00
791,0.00,0.00,0.09140,-0.00932,0.01235,-0.99569,0.12544,0.00192,0.00024,-0.99210,-0.21560,0.00886,-0.01115,0.97638,1.00,0.12532,0.02964,0.00375,-0.99167,-0.21582,-0.01907,-0.01210,0.97617,1.00
802,0.00,0.00,0.09144,-0.00946,0.01227,-0.99569,0.12521,0.00134,0.00017,-0.99213,-0.21541,0.00957,-0.01103,0.97641,1.00,0.12504,0.02906,0.00366,-0.99172,-0.21557,-0.01835,-0.01198,0.97624,1.00
813,0.00,0.00,0.09135,-0.00953,0.01229,-0.99570,0.12531,0.00141,0.00018,-0.99212,-0.21541,0.00957,-0.01105,0.97641,1.00,0.12513,0.02913,0.00368,-0.99171,-0.21557,-0.01835,-0.01200,0.97624,1.00
824,0.00,0.00,0.09185,-0.00952,0.01236,-0.99565,0.12481,0.00143,0.00018,-0.99218,-0.21541,0.00956,-0.01112,0.97641,1.00,0.12463,0.02914,0.00366,-0.99177,-0.21557,-0.01836,-0.01204,0.97624,1.00
836,0.00,0.00,0.09247,-0.00955,0.01239,-0.99559,0.12427,0.00656,0.00082,-0.99223,-0.21556,0.00441,-0.01132,0.97642,1.00,0.12395,0.03425,0.00428,-0.99169,-0.21557,-0.02349,-0.01220,0.97613,1.00
847,0.00,0.00,0.09306,-0.00956,0.01223,-0.99554,0.12368,0.00651,0.00081,-0.99230,-0.21556,0.00445,-0.01115,0.97642,1.00,0.12337,0.03419,0.00425,-0.99176,-0.21557,-0.02344,-0.01200,0.97613,1.00
858,0.00,0.00,0.09353,-0.00973,0.01226,-0.99549,0.12321,0.00667,0.00083,-0.99236,-0.21556,0.00445,-0.01117,0.97642,1.00,0.12290,0.03435,0.00426,-0.99182,-0.21557,-0.02344,-0.01199,0.97613,1.00
869,0.00,0.00,0.09380,-0.00988,0.01229,-0.99547,0.12445,0.00651,0.00082,-0.99220,-0.21704,0.00478,-0.01117,0.97609,1.00,0.12412,0.03420,0.00428,-0.99167,-0.21704,-0.02313,-0.01202,0.97582,1.00
880,0.00,0.00,0.09398,-0.01007,0.01246,-0.99545,0.12427,0.00675,0.00085,-0.99223,-0.21704,0.00474,-0.01132,0.97608,1.00,0.12393,0.03445,0.00430,-0.99168,-0.21704,-0.02316,-0.01216,0.97581,1.00
891,0.00,0.00,0.09427,-0.01032,0.01262,-0.99541,0.12397,0.00704,0.00088,-0.99226,-0.21704,0.00471,-0.01146,0.97608,1.00,0.12363,0.03473,0.00433,-0.99171,-0.21703,-0.02319,-0.01228,0.97581,1.00
902,0.00,0.00,0.09459,-0.01059,0.01282,-0.99538,0.12473,0.00643,0.00081,-0.99217,-0.21809,0.00563,-0.01160,0.97584,1.00,0.12438,0.03413,0.00428,-0.99164,-0.21809,-0.02228,-0.01243,0.97560,1.00
914,0.00,0.00,0.09507,-0.01087,0.01317,-0.99532,0.12425,0.00682,0.00085,-0.99223,-0.21810,0.00556,-0.01192,0.97584,1.00,0.12388,0.03451,0.00431,-0.99169,-0.21808,-0.02234,-0.01272,0.97559,1.00
925,0.00,0.00,0.09541,-0.01113,0.01354,-0.99528,0.12391,0.00719,0.00090,-0.99227,-0.21810,0.00548,-0.01227,0.97583,1.00,0.12352,0.03488,0.00434,-0.99172,-0.21807,-0.02242,-0.01305,0.97559,1.00
936,0.00,0.00,0.09544,-0.01124,0.01373,-0.99528,0.12394,0.00611,0.00076,-0.99227,-0.21815,0.00670,-0.01241,0.97581,1.00,0.12357,0.03380,0.00421,-0.99175,-0.21815,-0.02120,-0.01320,0.97560,1.00
947,0.00,0.00,0.09546,-0.01124,0.01381,-0.99527,0.12392,0.00614,0.00077,-0.99227,-0.21815,0.00668,-0.01248,0.97581,1.00,0.12355,0.03383,0.00421,-0.99175,-0.21815,-0.02122,-0.01327,0.97559,1.00
958,0.00,0.00,0.09564,-0.01126,0.01402,-0.99525,0.12374,0.00622,0.00078,-0.99230,-0.21815,0.00664,-0.01270,0.97581,1.00,0.12335,0.03391,0.00422,-0.99177,-0.21814,-0.02126,-0.01347,0.97559,1.00
969,0.00,0.00,0.09609,-0.01114,0.01428,-0.99521,0.12368,0.00600,0.00075,-0.99230,-0.21853,0.00679,-0.01296,0.97572,1.00,0.12331,0.03368,0.00419,-0.99179,-0.21854,-0.02111,-0.01372,0.97550,1.00
980,0.00,0.00,0.09682,-0.01110,0.01461,-0.99513,0.12295,0.00605,0.00075,-0.99239,-0.21853,0.00671,-0.01329,0.97572,1.00,0.12256,0.03373,0.00417,-0.99188,-0.21854,-0.02118,-0.01401,0.97550,1.00
991,0.00,0.00,0.09746,-0.01105,0.01491,-0.99507,0.12231,0.00611,0.00075,-0.99247,-0.21854,0.00664,-0.01360,0.97571,1.00,0.12190,0.03378,0.00415,-0.99196,-0.21853,-0.02124,-0.01428,0.97549,1.00
1003,0.00,0.00,0.09797,-0.01107,0.01548,-0.99501,0.12192,0.00678,0.00083,-0.99252,-0.21867,0.00605,-0.01418,0.97568,1.00,0.12151,0.03445,0.00422,-0.99198,-0.21867,-0.02183,-0.01483,0.97544,1.00
1014,0.00,0.00,0.09808,-0.01108,0.01599,-0.99499,0.12181,0.00697,0.00086,-0.99253,-0.21867,0.00593,-0.01469,0.97567,1.00,0.12137,0.03463,0.00424,-0.99199,-0.21866,-0.02194,-0.01534,0.97543,1.00
1025,0.00,0.00,0.09777,-0.01117,0.01634,-0.99501,0.12212,0.00718,0.00088,-0.99249,-0.21867,0.00585,-0.01503,0.97566,1.00,0.12166,0.03485,0.00427,-0.99195,-0.21865,-0.02202,-0.01569,0.97543,1.00
1036,0.00,0.00,0.09756,-0.01122,0.01637,-0.99503,0.12293,0.00757,0.00094,-0.99239,-0.21928,0.00553,-0.01506,0.97553,1.00,0.12251,0.03524,0.00435,-0.99183,-0.21930,-0.02236,-0.01576,0.97528,1.00
1047,0.00,0.00,0.09724,-0.01134,0.01621,-0.99506,0.12325,0.00763,0.00095,-0.99235,-0.21927,0.00557,-0.01489,0.97553,1.00,0.12284,0.03531,0.00437,-0.99179,-0.21930,-0.02232,-0.01561,0.97528,1.00
1058,0.00,0.00,0.09695,-0.01146,0.01618,-0.99509,0.12354,0.00774,0.00096,-0.99231,-0.21927,0.00558,-0.01484,0.97553,1.00,0.12313,0.03542,0.00440,-0.99175,-0.21930,-0.02231,-0.01557,0.97528,1.00
1070,0.00,0.00,0.09706,-0.01157,0.01612,-0.99508,0.12227,0.00871,0.00107,-0.99246,-0.21815,0.00468,-0.01480,0.97579,1.00,0.12189,0.03638,0.00447,-0.99187,-0.21820,-0.02320,-0.01549,0.97551,1.00
1081,0.00,0.00,0.09731,-0.01168,0.01616,-0.99505,0.12202,0.00883,0.00109,-0.99249,-0.21815,0.00467,-0.01484,0.97579,1.00,0.12164,0.03649,0.00448,-0.99189,-0.21820,-0.02320,-0.01551,0.97550,1.00
1092,0.00,0.00,0.09796,-0.01174,0.01603,-0.99499,0.12137,0.00883,0.00108,-0.99257,-0.21815,0.00470,-0.01470,0.97579,1.00,0.12100,0.03649,0.00445,-0.99197,-0.21820,-0.02316,-0.01534,0.97551,1.00
1103,0.00,0.00,0.09847,-0.01185,0.01598,-0.99494,0.12081,0.00902,0.00110,-0.99263,-0.21810,0.00461,-0.01464,0.97581,1.00,0.12044,0.03667,0.00445,-0.99203,-0.21816,-0.02324,-0.01525,0.97552,1.00
1114,0.00,0.00,0.09892,-0.01184,0.01586,-0.99490,0.12036,0.00896,0.00109,-0.99269,-0.21810,0.00464,-0.01451,0.97581,1.00,0.12001,0.03660,0.00443,-0.99209,-0.21817,-0.02321,-0.01510,0.97552,1.00
1125,0.00,0.00,0.09928,-0.01192,0.01567,-0.99486,0.12000,0.00897,0.00108,-0.99273,-0.21810,0.00468,-0.01432,0.97581,1.00,0.11966,0.03661,0.00442,-0.99213,-0.21817,-0.02316,-0.01488,0.97552,1.00
1137,0.00,0.00,0.09960,-0.01186,0.01540,-0.99484,0.12048,0.00862,0.00105,-0.99268,-0.21888,0.00495,-0.01405,0.97564,1.00,0.12015,0.03626,0.00439,-0.99208,-0.21895,-0.02290,-0.01462,0.97536,1.00
1147,0.00,0.00,0.09983,-0.01164,0.01518,-0.99482,0.12026,0.00832,0.00101,-0.99271,-0.21887,0.00500,-0.01384,0.97564,1.00,0.11994,0.03597,0.00435,-0.99212,-0.21895,-0.02285,-0.01440,0.97536,1.00
1159,0.00,0.00,0.09997,-0.01140,0.01545,-0.99481,0.12012,0.00819,0.00099,-0.99272,-0.21888,0.00493,-0.01413,0.97564,1.00,0.11979,0.03583,0.00433,-0.99214,-0.21895,-0.02291,-0.01468,0.97536,1.00
1170,0.00,0.00,0.10001,-0.01110,0.01605,-0.99479,0.12077,0.00877,0.00107,-0.99264,-0.21957,0.00412,-0.01477,0.97548,1.00,0.12036,0.03642,0.00442,-0.99205,-0.21959,-0.02373,-0.01534,0.97518,1.00
1181,0.00,0.00,0.10010,-0.01065,0.01635,-0.99479,0.12068,0.00845,0.00103,-0.99265,-0.21957,0.00404,-0.01512,0.97547,1.00,0.12026,0.03610,0.00438,-0.99208,-0.21958,-0.02381,-0.01568,0.97518,1.00
