Time_ms,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00000,0.06090,0.06943,-0.02757,0.99534,0.02581,-0.04320,0.00112,0.99873,0.08541,0.02556,-0.03084,0.99554,1.00,0.02565,-0.07009,0.00180,0.99721,0.08446,-0.00134,-0.03174,0.99592,1.00
14,0.54498,0.06057,0.06941,-0.02765,0.99536,0.02614,-0.04317,0.00113,0.99873,0.08540,0.02557,-0.03092,0.99554,1.00,0.02598,-0.07005,0.00183,0.99720,0.08446,-0.00134,-0.03180,0.99592,1.00
28,1.10600,0.06032,0.06932,-0.02779,0.99538,0.02618,-0.04212,0.00110,0.99877,0.08520,0.02651,-0.03102,0.99553,1.00,0.02601,-0.06902,0.00180,0.99727,0.08425,-0.00040,-0.03189,0.99593,1.00
41,1.65764,0.06018,0.06940,-0.02808,0.99538,0.02632,-0.04217,0.00111,0.99876,0.08520,0.02654,-0.03130,0.99552,1.00,0.02617,-0.06906,0.00181,0.99727,0.08425,-0.00038,-0.03217,0.99593,1.00
56,2.23652,0.06003,0.06932,-0.02830,0.99538,0.02629,-0.04269,0.00112,0.99874,0.08499,0.02593,-0.03153,0.99554,1.00,0.02614,-0.06958,0.00182,0.99723,0.08403,-0.00098,-0.03240,0.99594,1.00
70,2.77242,0.05998,0.06912,-0.02844,0.99540,0.02634,-0.04248,0.00112,0.99875,0.08499,0.02594,-0.03166,0.99554,1.00,0.02619,-0.06937,0.00182,0.99725,0.08403,-0.00097,-0.03252,0.99593,1.00
84,3.35804,0.05988,0.06894,-0.02857,0.99541,0.02644,-0.04228,0.00112,0.99876,0.08499,0.02595,-0.03178,0.99554,1.00,0.02629,-0.06917,0.00182,0.99726,0.08403,-0.00096,-0.03263,0.99593,1.00
97,3.87488,0.05986,0.06872,-0.02889,0.99542,0.02621,-0.04182,0.00110,0.99878,0.08475,0.02619,-0.03206,0.99554,1.00,0.02606,-0.06871,0.00180,0.99729,0.08378,-0.00072,-0.03293,0.99594,1.00
111,4.41583,0.05972,0.06849,-0.02918,0.99544,0.02635,-0.04155,0.00110,0.99879,0.08474,0.02621,-0.03234,0.99553,1.00,0.02621,-0.06844,0.00180,0.99731,0.08378,-0.00070,-0.03319,0.99593,1.00
126,4.96937,0.05972,0.06822,-0.02966,0.99544,0.02631,-0.04195,0.00111,0.99877,0.08466,0.02553,-0.03282,0.99554,1.00,0.02617,-0.06884,0.00181,0.99728,0.08369,-0.00138,-0.03368,0.99592,1.00
139,5.49775,0.05976,0.06805,-0.03017,0.99543,0.02627,-0.04173,0.00110,0.99878,0.08465,0.02557,-0.03332,0.99553,1.00,0.02616,-0.06862,0.00180,0.99730,0.08369,-0.00134,-0.03418,0.99590,1.00
154,6.05403,0.05983,0.06793,-0.03030,0.99543,0.02620,-0.04160,0.00109,0.99879,0.08465,0.02558,-0.03345,0.99552,1.00,0.02609,-0.06849,0.00179,0.99731,0.08369,-0.00133,-0.03431,0.99590,1.00
167,6.56888,0.05964,0.06788,-0.03024,0.99545,0.02621,-0.04398,0.00115,0.99869,0.08440,0.02315,-0.03346,0.99560,1.00,0.02605,-0.07085,0.00185,0.99714,0.08339,-0.00374,-0.03431,0.99592,1.00
181,7.09660,0.05942,0.06803,-0.03006,0.99546,0.02643,-0.04414,0.00117,0.99868,0.08440,0.02314,-0.03328,0.99561,1.00,0.02627,-0.07102,0.00187,0.99713,0.08339,-0.00376,-0.03412,0.99593,1.00
195,7.62041,0.05926,0.06821,-0.02999,0.99546,0.02650,-0.04477,0.00119,0.99864,0.08430,0.02269,-0.03322,0.99563,1.00,0.02630,-0.07165,0.00189,0.99708,0.08325,-0.00421,-0.03406,0.99594,1.00
208,8.10025,0.05907,0.06863,-0.02965,0.99545,0.02669,-0.04521,0.00121,0.99862,0.08431,0.02266,-0.03290,0.99564,1.00,0.02647,-0.07209,0.00191,0.99704,0.08325,-0.00424,-0.03373,0.99595,1.00
223,8.63077,0.05896,0.06875,-0.02898,0.99547,0.02810,-0.04152,0.00117,0.99874,0.08573,0.02646,-0.03216,0.99545,1.00,0.02784,-0.06842,0.00191,0.99727,0.08467,-0.00047,-0.03295,0.99586,1.00
236,9.10941,0.05894,0.06905,-0.02852,0.99546,0.02812,-0.04186,0.00118,0.99873,0.08574,0.02642,-0.03172,0.99546,1.00,0.02784,-0.06876,0.00192,0.99724,0.08466,-0.00050,-0.03251,0.99588,1.00
252,9.64150,0.05889,0.06920,-0.02805,0.99547,0.02816,-0.04207,0.00119,0.99872,0.08576,0.02638,-0.03126,0.99548,1.00,0.02786,-0.06897,0.00193,0.99723,0.08466,-0.00054,-0.03204,0.99589,1.00
264,10.09274,0.05889,0.06928,-0.02760,0.99547,0.02786,-0.04130,0.00115,0.99876,0.08549,0.02725,-0.03078,0.99549,1.00,0.02757,-0.06820,0.00189,0.99729,0.08442,0.00033,-0.03157,0.99593,1.00
278,10.56518,0.05881,0.06934,-0.02716,0.99549,0.02793,-0.04139,0.00116,0.99875,0.08550,0.02721,-0.03035,0.99550,1.00,0.02761,-0.06830,0.00189,0.99728,0.08442,0.00029,-0.03114,0.99594,1.00
293,11.04792,0.05875,0.06934,-0.02689,0.99550,-0.02411,-0.01229,-0.00030,0.99963,0.03438,0.05774,-0.02623,0.99739,1.00,-0.02411,-0.03935,-0.00095,0.99893,0.03357,0.03080,-0.02845,0.99856,1.00
306,11.49760,0.05839,0.06918,-0.02665,0.99554,-0.02374,-0.01212,-0.00029,0.99964,0.03439,0.05773,-0.02599,0.99740,1.00,-0.02375,-0.03918,-0.00093,0.99895,0.03358,0.03079,-0.02819,0.99856,1.00
321,11.97154,0.05793,0.06894,-0.02640,0.99559,-0.02535,-0.01097,-0.00028,0.99962,0.03236,0.05868,-0.02556,0.99742,1.00,-0.02532,-0.03803,-0.00096,0.99896,0.03159,0.03173,-0.02779,0.99861,1.00
334,12.39743,0.05758,0.06877,-0.02668,0.99561,-0.02501,-0.01079,-0.00027,0.99963,0.03234,0.05869,-0.02584,0.99742,1.00,-0.02497,-0.03785,-0.00095,0.99897,0.03158,0.03174,-0.02806,0.99860,1.00
349,12.84575,0.05721,0.06844,-0.02660,0.99566,-0.02465,-0.01045,-0.00026,0.99964,0.03235,0.05869,-0.02576,0.99742,1.00,-0.02461,-0.03751,-0.00092,0.99899,0.03159,0.03174,-0.02795,0.99861,1.00
362,13.25229,0.05681,0.06813,-0.02648,0.99571,-0.02485,-0.00750,-0.00019,0.99966,0.03183,0.06131,-0.02539,0.99729,1.00,-0.02480,-0.03457,-0.00086,0.99909,0.03109,0.03435,-0.02758,0.99855,1.00
376,13.65999,0.05647,0.06789,-0.02630,0.99575,-0.02451,-0.00725,-0.00018,0.99967,0.03184,0.06130,-0.02522,0.99729,1.00,-0.02446,-0.03432,-0.00084,0.99911,0.03110,0.03435,-0.02739,0.99855,1.00
391,14.07988,0.05639,0.06764,-0.02593,0.99578,-0.02370,0.03923,0.00093,0.99895,0.03381,0.10720,-0.02116,0.99344,1.00,-0.02382,0.01218,0.00029,0.99964,0.03299,0.08034,-0.02334,0.99595,1.00
404,14.45917,0.05639,0.06754,-0.02562,0.99579,-0.02365,0.03933,0.00093,0.99895,0.03385,0.10719,-0.02085,0.99344,1.00,-0.02379,0.01227,0.00029,0.99964,0.03301,0.08033,-0.02302,0.99596,1.00
419,14.85446,0.05666,0.06762,-0.02537,0.99578,-0.02389,0.03924,0.00094,0.99894,0.03388,0.10718,-0.02057,0.99345,1.00,-0.02404,0.01219,0.00029,0.99964,0.03304,0.08033,-0.02275,0.99596,1.00
432,15.21624,0.05698,0.06786,-0.02523,0.99575,-0.02478,0.05386,0.00134,0.99824,0.03366,0.12193,-0.01910,0.99178,1.00,-0.02497,0.02687,0.00067,0.99933,0.03281,0.09517,-0.02131,0.99469,1.00
446,15.56349,0.05712,0.06822,-0.02507,0.99572,-0.02488,0.05350,0.00133,0.99826,0.03368,0.12192,-0.01894,0.99179,1.00,-0.02508,0.02651,0.00067,0.99933,0.03282,0.09516,-0.02116,0.99470,1.00
460,15.91109,0.05706,0.06871,-0.02506,0.99569,-0.02533,0.05572,0.00141,0.99812,0.03323,0.12461,-0.01868,0.99147,1.00,-0.02550,0.02874,0.00073,0.99926,0.03240,0.09787,-0.02091,0.99445,1.00
473,16.23073,0.05678,0.06913,-0.02481,0.99568,-0.02499,0.05531,0.00138,0.99816,0.03325,0.12461,-0.01852,0.99148,1.00,-0.02518,0.02833,0.00071,0.99928,0.03242,0.09787,-0.02073,0.99446,1.00
488,16.55856,0.05661,0.06956,-0.02459,0.99567,-0.02478,0.05487,0.00136,0.99818,0.03327,0.12460,-0.01836,0.99148,1.00,-0.02498,0.02790,0.00070,0.99930,0.03243,0.09786,-0.02056,0.99446,1.00
501,16.85904,0.05652,0.06994,-0.02435,0.99565,-0.02457,0.06288,0.00155,0.99772,0.03357,0.13290,-0.01748,0.99041,1.00,-0.02478,0.03596,0.00089,0.99905,0.03274,0.10623,-0.01967,0.99361,1.00
516,17.16636,0.05666,0.07013,-0.02432,0.99563,-0.02469,0.06269,0.00155,0.99773,0.03358,0.13290,-0.01743,0.99041,1.00,-0.02490,0.03577,0.00089,0.99905,0.03274,0.10623,-0.01963,0.99361,1.00
529,17.43604,0.05674,0.07031,-0.02427,0.99561,-0.02501,0.07092,0.00178,0.99717,0.03353,0.14122,-0.01665,0.98927,1.00,-0.02523,0.04405,0.00111,0.99871,0.03270,0.11462,-0.01886,0.99269,1.00
543,17.69652,0.05709,0.07032,-0.02427,0.99559,-0.02534,0.07090,0.00180,0.99716,0.03354,0.14122,-0.01658,0.98927,1.00,-0.02557,0.04402,0.00113,0.99870,0.03270,0.11462,-0.01880,0.99269,1.00
558,17.95974,0.05745,0.07020,-0.02434,0.99558,-0.02564,0.10401,0.00268,0.99424,0.03432,0.17382,-0.01376,0.98408,1.00,-0.02596,0.07747,0.00202,0.99665,0.03344,0.14761,-0.01598,0.98835,1.00
571,18.18806,0.05770,0.06997,-0.02434,0.99558,-0.02587,0.10424,0.00271,0.99421,0.03433,0.17382,-0.01367,0.98408,1.00,-0.02620,0.07769,0.00204,0.99663,0.03345,0.14761,-0.01591,0.98835,1.00
586,18.42653,0.05783,0.06974,-0.02424,0.99559,-0.02597,0.10447,0.00273,0.99419,0.03436,0.17381,-0.01353,0.98409,1.00,-0.02631,0.07793,0.00206,0.99661,0.03347,0.14760,-0.01577,0.98835,1.00
599,18.62601,0.05781,0.06944,-0.02429,0.99561,-0.02575,0.10795,0.00280,0.99382,0.03463,0.17695,-0.01333,0.98352,1.00,-0.02608,0.08145,0.00213,0.99633,0.03375,0.15079,-0.01556,0.98787,1.00
613,18.82050,0.05778,0.06909,-0.02428,0.99564,-0.02572,0.10831,0.00280,0.99378,0.03464,0.17695,-0.01331,0.98352,1.00,-0.02606,0.08180,0.00214,0.99631,0.03376,0.15079,-0.01553,0.98787,1.00
627,19.00665,0.05784,0.06880,-0.02435,0.99565,-0.02542,0.11136,0.00285,0.99345,0.03505,0.17969,-0.01316,0.98301,1.00,-0.02576,0.08490,0.00220,0.99605,0.03418,0.15357,-0.01538,0.98743,1.00
641,19.17008,0.05795,0.06843,-0.02435,0.99567,-0.02553,0.11174,0.00287,0.99341,0.03506,0.17969,-0.01311,0.98301,1.00,-0.02587,0.08528,0.00222,0.99602,0.03419,0.15356,-0.01534,0.98743,1.00
655,19.32510,0.05844,0.06813,-0.02439,0.99566,-0.02579,0.11837,0.00307,0.99263,0.03543,0.18594,-0.01248,0.98184,1.00,-0.02615,0.09200,0.00242,0.99541,0.03454,0.15992,-0.01471,0.98642,1.00
669,19.45760,0.05907,0.06796,-0.02440,0.99564,-0.02639,0.11853,0.00315,0.99259,0.03547,0.18593,-0.01229,0.98185,1.00,-0.02677,0.09217,0.00248,0.99538,0.03457,0.15992,-0.01456,0.98642,1.00
683,19.58365,0.05969,0.06793,-0.02449,0.99560,-0.02700,0.11855,0.00323,0.99258,0.03549,0.18593,-0.01219,0.98185,1.00,-0.02738,0.09218,0.00254,0.99536,0.03458,0.15991,-0.01449,0.98642,1.00
697,19.68549,0.06012,0.06806,-0.02463,0.99556,-0.02576,0.11942,0.00310,0.99251,0.03718,0.18689,-0.01243,0.98160,1.00,-0.02612,0.09307,0.00244,0.99531,0.03629,0.16090,-0.01471,0.98619,1.00
710,19.77555,0.06018,0.06823,-0.02464,0.99555,-0.02582,0.11925,0.00310,0.99252,0.03717,0.18689,-0.01243,0.98160,1.00,-0.02618,0.09291,0.00244,0.99533,0.03629,0.16090,-0.01472,0.98619,1.00
725,19.85311,0.06015,0.06844,-0.02460,0.99554,-0.02479,0.12617,0.00315,0.99169,0.03829,0.19390,-0.01197,0.98020,1.00,-0.02516,0.09993,0.00253,0.99467,0.03741,0.16803,-0.01422,0.98497,1.00
738,19.91144,0.06012,0.06871,-0.02480,0.99552,-0.02482,0.12590,0.00315,0.99173,0.03825,0.19391,-0.01218,0.98020,1.00,-0.02518,0.09967,0.00252,0.99470,0.03737,0.16804,-0.01443,0.98497,1.00
753,19.95733,0.06027,0.06898,-0.02494,0.99548,-0.02501,0.12564,0.00317,0.99176,0.03823,0.19391,-0.01229,0.98020,1.00,-0.02537,0.09940,0.00253,0.99472,0.03735,0.16804,-0.01455,0.98496,1.00
766,19.98536,0.06045,0.06923,-0.02476,0.99546,-0.02887,0.12628,0.00368,0.99157,0.03459,0.19485,-0.01126,0.98016,1.00,-0.02930,0.10004,0.00295,0.99455,0.03364,0.16899,-0.01361,0.98495,1.00
780,19.99891,0.06085,0.06951,-0.02455,0.99542,-0.02918,0.12600,0.00371,0.99159,0.03465,0.19484,-0.01096,0.98016,1.00,-0.02963,0.09976,0.00297,0.99457,0.03369,0.16898,-0.01333,0.98495,1.00
794,19.99687,0.06134,0.06975,-0.02450,0.99538,-0.02923,0.13025,0.00384,0.99104,0.03515,0.19926,-0.01043,0.97926,1.00,-0.02971,0.10407,0.00311,0.99412,0.03417,0.17347,-0.01281,0.98416,1.00
808,19.97955,0.06169,0.07003,-0.02451,0.99533,-0.02957,0.12997,0.00388,0.99107,0.03517,0.19925,-0.01034,0.97926,1.00,-0.03005,0.10380,0.00314,0.99414,0.03418,0.17347,-0.01274,0.98416,1.00
823,19.94475,0.06200,0.07021,-0.02467,0.99530,-0.02990,0.12979,0.00392,0.99108,0.03516,0.19926,-0.01040,0.97926,1.00,-0.03039,0.10361,0.00317,0.99415,0.03417,0.17348,-0.01281,0.98416,1.00
836,19.89835,0.06230,0.07046,-0.02474,0.99526,-0.02955,0.14270,0.00426,0.98932,0.03605,0.21219,-0.00926,0.97652,1.00,-0.03007,0.11673,0.00354,0.99270,0.03505,0.18665,-0.01165,0.98173,1.00
851,19.83042,0.06265,0.07072,-0.02491,0.99522,-0.02994,0.14244,0.00431,0.98934,0.03604,0.21219,-0.00931,0.97652,1.00,-0.03046,0.11647,0.00357,0.99272,0.03504,0.18665,-0.01172,0.98173,1.00
864,19.75377,0.06299,0.07108,-0.02502,0.99517,-0.03059,0.14496,0.00448,0.98895,0.03579,0.21504,-0.00897,0.97591,1.00,-0.03112,0.11903,0.00373,0.99240,0.03478,0.18954,-0.01140,0.98119,1.00
877,19.66196,0.06338,0.07139,-0.02506,0.99512,-0.03097,0.14465,0.00453,0.98899,0.03581,0.21503,-0.00890,0.97591,1.00,-0.03150,0.11872,0.00377,0.99242,0.03479,0.18954,-0.01134,0.98119,1.00
892,19.54834,0.06362,0.07185,-0.02509,0.99507,-0.03041,0.14482,0.00445,0.98898,0.03661,0.21564,-0.00898,0.97574,1.00,-0.03094,0.11889,0.00371,0.99242,0.03560,0.19015,-0.01142,0.98104,1.00
906,19.42417,0.06379,0.07226,-0.02511,0.99503,-0.03058,0.14441,0.00446,0.98904,0.03662,0.21564,-0.00897,0.97574,1.00,-0.03111,0.11848,0.00371,0.99246,0.03560,0.19015,-0.01142,0.98104,1.00
920,19.28195,0.06381,0.07271,-0.02498,0.99500,-0.03055,0.14396,0.00445,0.98910,0.03664,0.21564,-0.00887,0.97575,1.00,-0.03108,0.11803,0.00370,0.99252,0.03562,0.19015,-0.01132,0.98104,1.00
933,19.13078,0.06383,0.07312,-0.02516,0.99496,-0.03036,0.14083,0.00432,0.98956,0.03682,0.21297,-0.00939,0.97632,1.00,-0.03087,0.11484,0.00357,0.99290,0.03581,0.18741,-0.01184,0.98156,1.00
947,18.96069,0.06391,0.07349,-0.02533,0.99492,-0.03049,0.14047,0.00433,0.98961,0.03678,0.21297,-0.00954,0.97632,1.00,-0.03100,0.11448,0.00357,0.99294,0.03578,0.18742,-0.01200,0.98155,1.00
961,18.77374,0.06394,0.07369,-0.02521,0.99491,-0.02967,0.13900,0.00417,0.98984,0.03758,0.21171,-0.00974,0.97656,1.00,-0.03016,0.11298,0.00343,0.99313,0.03659,0.18612,-0.01218,0.98177,1.00
975,18.58136,0.06420,0.07384,-0.02522,0.99488,-0.02992,0.13884,0.00420,0.98985,0.03760,0.21171,-0.00967,0.97656,1.00,-0.03042,0.11282,0.00346,0.99314,0.03660,0.18612,-0.01212,0.98177,1.00
990,18.35668,0.06440,0.07392,-0.02524,0.99486,-0.02984,0.13530,0.00408,0.99035,0.03780,0.20831,-0.01002,0.97728,1.00,-0.03033,0.10921,0.00333,0.99355,0.03681,0.18264,-0.01249,0.98241,1.00
1003,18.13893,0.06457,0.07390,-0.02523,0.99485,-0.02999,0.13532,0.00410,0.99034,0.03782,0.20830,-0.00995,0.97728,1.00,-0.03049,0.10923,0.00335,0.99354,0.03682,0.18264,-0.01242,0.98241,1.00
1017,17.88435,0.06467,0.07379,-0.02525,0.99485,-0.03010,0.13543,0.00412,0.99032,0.03782,0.20830,-0.00993,0.97728,1.00,-0.03059,0.10934,0.00337,0.99353,0.03682,0.18264,-0.01241,0.98241,1.00
1031,17.63549,0.06482,0.07358,-0.02533,0.99486,-0.02994,0.13066,0.00395,0.99097,0.03805,0.20340,-0.01050,0.97830,1.00,-0.03041,0.10447,0.00320,0.99406,0.03706,0.17764,-0.01299,0.98331,1.00
1045,17.36887,0.06483,0.07327,-0.02520,0.99488,-0.02990,0.13097,0.00395,0.99093,0.03808,0.20340,-0.01035,0.97830,1.00,-0.03038,0.10479,0.00320,0.99403,0.03709,0.17764,-0.01284,0.98331,1.00
1059,17.08049,0.06485,0.07285,-0.02502,0.99492,-0.02742,0.12645,0.00350,0.99159,0.04044,0.19850,-0.01113,0.97920,1.00,-0.02786,0.10020,0.00281,0.99457,0.03950,0.17266,-0.01356,0.98410,1.00
1073,16.78964,0.06495,0.07244,-0.02478,0.99495,-0.02744,0.12686,0.00351,0.99154,0.04050,0.19849,-0.01085,0.97921,1.00,-0.02789,0.10061,0.00282,0.99453,0.03954,0.17265,-0.01329,0.98410,1.00
1087,16.47032,0.06518,0.07194,-0.02454,0.99497,-0.02758,0.12734,0.00354,0.99147,0.04056,0.19848,-0.01052,0.97921,1.00,-0.02805,0.10109,0.00285,0.99448,0.03960,0.17264,-0.01296,0.98410,1.00
1101,16.15756,0.06543,0.07158,-0.02434,0.99499,-0.02685,0.11982,0.00324,0.99243,0.04136,0.19070,-0.01116,0.98071,1.00,-0.02729,0.09347,0.00256,0.99525,0.04043,0.16473,-0.01360,0.98542,1.00
1115,15.81732,0.06569,0.07126,-0.02421,0.99500,-0.02706,0.12013,0.00328,0.99238,0.04141,0.19069,-0.01095,0.98072,1.00,-0.02751,0.09378,0.00259,0.99521,0.04046,0.16472,-0.01340,0.98542,1.00
1128,15.47406,0.06590,0.07100,-0.02412,0.99500,-0.02706,0.11619,0.00317,0.99285,0.04154,0.18654,-0.01122,0.98150,1.00,-0.02747,0.08978,0.00248,0.99558,0.04062,0.16052,-0.01369,0.98610,1.00
1142,15.12025,0.06617,0.07093,-0.02395,0.99500,-0.02726,0.11625,0.00319,0.99284,0.04158,0.18653,-0.01098,0.98151,1.00,-0.02769,0.08984,0.00250,0.99557,0.04066,0.16051,-0.01345,0.98611,1.00
1156,14.74101,0.06632,0.07089,-0.02393,0.99499,-0.03010,0.10981,0.00333,0.99349,0.03880,0.18019,-0.01104,0.98280,1.00,-0.03052,0.08332,0.00255,0.99605,0.03786,0.15407,-0.01360,0.98724,1.00
1170,14.37020,0.06636,0.07094,-0.02386,0.99498,-0.03013,0.10976,0.00333,0.99350,0.03881,0.18019,-0.01097,0.98281,1.00,-0.03055,0.08327,0.00255,0.99606,0.03787,0.15407,-0.01353,0.98724,1.00
1185,13.95131,0.06648,0.07111,-0.02398,0.99496,-0.03028,0.10959,0.00334,0.99351,0.03879,0.18019,-0.01106,0.98280,1.00,-0.03069,0.08310,0.00256,0.99607,0.03786,0.15407,-0.01363,0.98724,1.00
1198,13.56686,0.06659,0.07115,-0.02403,0.99495,-0.03008,0.10784,0.00326,0.99371,0.03907,0.17850,-0.01131,0.98310,1.00,-0.03047,0.08133,0.00249,0.99622,0.03816,0.15237,-0.01388,0.98749,1.00
1212,13.16462,0.06660,0.07139,-0.02432,0.99493,-0.03017,0.10761,0.00327,0.99373,0.03901,0.17851,-0.01160,0.98310,1.00,-0.03054,0.08110,0.00249,0.99624,0.03811,0.15238,-0.01418,0.98749,1.00
1226,12.73582,0.06649,0.07152,-0.02449,0.99492,-0.03451,0.09862,0.00342,0.99452,0.03445,0.16986,-0.01193,0.98479,1.00,-0.03489,0.07198,0.00252,0.99679,0.03351,0.14360,-0.01463,0.98896,1.00
1239,12.32196,0.06646,0.07166,-0.02478,0.99490,-0.03455,0.09848,0.00342,0.99453,0.03440,0.16987,-0.01222,0.98479,1.00,-0.03491,0.07185,0.00252,0.99680,0.03347,0.14361,-0.01492,0.98896,1.00
1253,11.86258,0.06643,0.07171,-0.02508,0.99490,-0.03461,0.09843,0.00343,0.99454,0.03435,0.16988,-0.01251,0.98479,1.00,-0.03495,0.07180,0.00252,0.99680,0.03343,0.14362,-0.01522,0.98895,1.00
1267,11.41841,0.06656,0.07175,-0.02522,0.99488,-0.03463,0.09252,0.00322,0.99510,0.03434,0.16410,-0.01325,0.98576,1.00,-0.03495,0.06582,0.00231,0.99722,0.03342,0.13776,-0.01596,0.98977,1.00
1281,10.94325,0.06667,0.07178,-0.02516,0.99487,-0.03473,0.09248,0.00323,0.99510,0.03436,0.16410,-0.01317,0.98576,1.00,-0.03505,0.06578,0.00231,0.99722,0.03343,0.13775,-0.01589,0.98977,1.00
1295,10.48563,0.06689,0.07189,-0.02519,0.99485,-0.03481,0.08122,0.00284,0.99608,0.03425,0.15310,-0.01433,0.98751,1.00,-0.03511,0.05441,0.00191,0.99790,0.03333,0.12662,-0.01707,0.99124,1.00
1308,10.02453,0.06704,0.07194,-0.02544,0.99483,-0.03501,0.08117,0.00285,0.99608,0.03421,0.15310,-0.01455,0.98751,1.00,-0.03530,0.05435,0.00192,0.99790,0.03330,0.12663,-0.01729,0.99124,1.00
1323,9.51650,0.06704,0.07198,-0.02535,0.99483,-0.03333,0.07142,0.00239,0.99689,0.03566,0.14349,-0.01571,0.98888,1.00,-0.03358,0.04453,0.00150,0.99844,0.03477,0.11692,-0.01842,0.99236,1.00
1336,9.04017,0.06700,0.07206,-0.02544,0.99482,-0.03331,0.07134,0.00238,0.99689,0.03564,0.14350,-0.01581,0.98888,1.00,-0.03356,0.04445,0.00149,0.99845,0.03475,0.11692,-0.01851,0.99236,1.00
1351,8.50707,0.06698,0.07216,-0.02552,0.99481,-0.03331,0.07124,0.00238,0.99690,0.03563,0.14350,-0.01589,0.98888,1.00,-0.03355,0.04435,0.00149,0.99845,0.03474,0.11692,-0.01860,0.99236,1.00
1364,8.02356,0.06709,0.07235,-0.02559,0.99479,-0.03087,0.06478,0.00200,0.99742,0.03801,0.13726,-0.01695,0.98966,1.00,-0.03106,0.03785,0.00118,0.99880,0.03716,0.11063,-0.01960,0.99297,1.00
1378,7.51799,0.06726,0.07257,-0.02546,0.99477,-0.03101,0.06456,0.00201,0.99743,0.03803,0.13725,-0.01681,0.98966,1.00,-0.03121,0.03762,0.00118,0.99880,0.03717,0.11062,-0.01947,0.99298,1.00
1393,6.97473,0.06750,0.07279,-0.02535,0.99474,-0.03087,0.04964,0.00154,0.99829,0.03805,0.12272,-0.01818,0.99155,1.00,-0.03103,0.02262,0.00070,0.99926,0.03721,0.09597,-0.02085,0.99447,1.00
1406,6.47466,0.06782,0.07295,-0.02521,0.99471,-0.03116,0.04947,0.00154,0.99829,0.03807,0.12271,-0.01801,0.99155,1.00,-0.03133,0.02244,0.00070,0.99926,0.03723,0.09596,-0.02069,0.99447,1.00
1420,5.92341,0.06806,0.07313,-0.02508,0.99468,-0.03138,0.04928,0.00155,0.99829,0.03809,0.12271,-0.01785,0.99155,1.00,-0.03155,0.02226,0.00070,0.99925,0.03724,0.09596,-0.02054,0.99448,1.00
1434,5.40891,0.06812,0.07316,-0.02484,0.99468,-0.03058,0.03615,0.00111,0.99888,0.03860,0.10972,-0.01901,0.99303,1.00,-0.03071,0.00907,0.00028,0.99949,0.03779,0.08289,-0.02168,0.99561,1.00
1448,4.87987,0.06806,0.07321,-0.02457,0.99469,-0.03048,0.03610,0.00110,0.99888,0.03863,0.10971,-0.01875,0.99304,1.00,-0.03062,0.00902,0.00028,0.99949,0.03781,0.08288,-0.02142,0.99561,1.00
1462,4.33108,0.06790,0.07314,-0.02432,0.99471,-0.02830,0.02812,0.00080,0.99920,0.04044,0.10168,-0.01953,0.99380,1.00,-0.02840,0.00103,0.00003,0.99960,0.03965,0.07482,-0.02213,0.99616,1.00
1475,3.79383,0.06784,0.07295,-0.02412,0.99473,-0.02821,0.02831,0.00080,0.99920,0.04046,0.10168,-0.01932,0.99381,1.00,-0.02832,0.00122,0.00003,0.99960,0.03967,0.07481,-0.02192,0.99617,1.00
1490,3.21699,0.06784,0.07266,-0.02399,0.99476,-0.02655,0.01719,0.00046,0.99950,0.04184,0.09032,-0.02043,0.99482,1.00,-0.02660,-0.00992,-0.00026,0.99960,0.04109,0.06342,-0.02298,0.99688,1.00
1504,2.67912,0.06780,0.07227,-0.02383,0.99479,-0.02650,0.01757,0.00047,0.99949,0.04185,0.09032,-0.02025,0.99483,1.00,-0.02656,-0.00953,-0.00025,0.99960,0.04110,0.06341,-0.02280,0.99688,1.00
1518,2.10711,0.06781,0.07177,-0.02358,0.99483,-0.02649,0.01807,0.00048,0.99949,0.04188,0.09031,-0.01997,0.99483,1.00,-0.02657,-0.00903,-0.00024,0.99961,0.04112,0.06340,-0.02252,0.99689,1.00
1531,1.57838,0.06784,0.07123,-0.02343,0.99487,-0.02686,0.00828,0.00022,0.99960,0.04130,0.08006,-0.02072,0.99572,1.00,-0.02688,-0.01882,-0.00051,0.99946,0.04058,0.05314,-0.02328,0.99749,1.00
1545,1.02476,0.06794,0.07070,-0.02348,0.99490,-0.02697,0.00882,0.00024,0.99960,0.04130,0.08006,-0.02073,0.99572,1.00,-0.02700,-0.01828,-0.00049,0.99947,0.04058,0.05314,-0.02329,0.99749,1.00
1559,0.45572,0.06818,0.07016,-0.02356,0.99492,-0.02730,-0.00395,-0.00011,0.99962,0.04090,0.06686,-0.02201,0.99668,1.00,-0.02725,-0.03103,-0.00085,0.99915,0.04022,0.03993,-0.02459,0.99809,1.00
